     p_x	     p_y	     p_z	       v	       E	A	Z	polar angle

0.483114	-0.482192	2.38007 	0.466555	5.307   	5	1	-44.9453
1.1041  	-0.737381	3.40922 	0.88974 	4.11201 	2	1	-33.7372
1.40715 	-0.97117	4.67858 	0.935769	5.32311 	2	1	-34.6122
1.34133 	-0.359948	5.54722 	0.950175	6.01829 	2	2	-15.0216
1.44405 	-0.194976	5.53346 	0.950234	6.02178 	2	2	-7.6896
1.88104 	-0.408279	5.91358 	0.910961	6.8268  	3	1	-12.2461
1.98709 	-0.455346	5.91534 	0.957828	6.53225 	2	1	-12.9066
2.25323 	-0.273897	6.46124 	0.964468	7.10064 	2	2	-6.93073
1.80221 	-0.302395	7.92712 	0.974426	8.34854 	2	2	-9.52503
1.47058 	-0.306823	8.99054 	0.979471	9.30623 	2	2	-11.7852
1.63052 	-0.024696	9.15334 	0.980224	9.48504 	2	1	-0.867743
1.69111 	-0.156906	10.6578 	0.985211	10.9543 	2	1	-5.3009
1.35067 	-0.601057	11.7309 	0.98762 	11.9719 	2	0	-23.9894
1.5066  	-0.836314	12.5762 	0.976265	13.0023 	3	1	-29.0347
1.66601 	-1.04992	12.8879 	0.989784	13.172  	2	0	-32.2191
1.88826 	-1.16107	13.6527 	0.990908	13.9584 	2	0	-31.5869
2.07675 	-0.817706	15.016  	0.992443	15.2965 	2	1	-21.4917
2.56034 	-1.11861	15.4826 	0.992951	15.8444 	2	0	-23.6005
2.86718 	-1.62079	15.9328 	0.993404	16.3777 	2	0	-29.4792
2.71712 	-2.45463	16.5075 	0.993889	17.0128 	2	0	-42.0945
2.62265 	-2.97102	16.9193 	0.994211	17.4784 	2	0	-48.5637
2.42796 	-2.29867	17.6988 	0.994608	18.1095 	2	0	-43.4332
2.62902 	-1.95344	17.5824 	0.994538	17.983  	2	1	-36.6134
2.74576 	-2.55944	19.1675 	0.989766	19.7335 	3	1	-42.9887
2.85973 	-2.17332	19.7815 	0.995666	20.1925 	2	0	-37.2339
2.59068 	-2.3591 	20.3885 	0.990862	20.8781 	3	1	-42.3214
2.20451 	-2.31116	22.144  	0.996499	22.4517 	2	1	-46.3529
2.62607 	-2.28819	23.0404 	0.996772	23.3777 	2	1	-41.0669
2.68569 	-2.20433	23.7307 	0.996952	24.057  	2	1	-39.3781
2.49904 	-1.35903	26.2315 	0.994353	26.5351 	3	1	-28.5382
2.09734 	-1.20784	28.1789 	0.997803	28.3449 	2	0	-29.9372
1.75542 	-0.967601	29.9411 	0.995626	30.14   	3	1	-28.864
1.00675 	-0.415063	31.0956 	0.998185	31.1713 	2	1	-22.4054
0.954224	-0.051577	33.1534 	0.996418	33.2864 	3	2	-3.0939
0.912098	0.305649	34.9393 	0.998561	35.0029 	2	1	18.5263
0.853362	0.290602	36.5692 	0.998686	36.6284 	2	1	18.8057
1.02641 	0.586752	38.3408 	0.998805	38.4049 	2	1	29.7547
0.899152	0.79058 	40.1082 	0.998908	40.17   	2	1	41.3236
0.862173	0.826049	40.5811 	0.998932	40.6421 	2	0	43.7742
1.12729 	0.847687	42.954  	0.997859	43.0694 	3	0	36.9421
0.586806	1.05166 	44.0691 	0.999095	44.1255 	2	1	60.8393
0.361212	1.04685 	44.8581 	0.999125	44.9111 	2	0	70.9633
0.600055	1.65444 	45.9198 	0.999166	45.9919 	2	0	70.0647
0.502489	1.46607 	47.7195 	0.999227	47.7816 	2	0	71.0811
