     p_x	     p_y	     p_z	       v	       E	A	Z	polar angle

-1.21895	-0.943585	184.066 	0.445606	413.083 	394	162	37.7433
0.621436	-0.25014	184.558 	0.446548	413.302 	394	160	-21.9258
0.132382	1.8382  	187.121 	0.453335	412.785 	392	156	85.8809
-3.58083	0.394019	181.191 	0.442776	409.297 	391	160	-6.27932
-1.68779	-0.097968	182.905 	0.999947	182.922 	2	0	3.32202
1.58609 	-1.08798	189.008 	0.455121	415.313 	394	159	-34.4481
-0.961697	-0.045779	187.991 	0.453163	414.848 	394	159	2.72536
-0.376068	-2.33329	185.333 	0.448076	413.653 	394	162	80.8442
1.12042 	-1.10628	185.571 	0.44852 	413.756 	394	162	-44.636
-2.95518	0.640465	185.705 	0.449721	412.989 	393	158	-12.2284
-1.16677	0.126432	190.606 	0.458151	416.042 	394	157	-6.18447
-0.555002	-0.518682	192.262 	0.461287	416.799 	394	161	43.0626
-0.94603	0.768551	189.342 	0.455749	415.461 	394	161	-39.0903
1.52249 	-0.044519	185.715 	0.448795	413.822 	394	160	-1.6749
-3.02987	-0.241344	187.133 	0.45156 	414.47  	394	159	4.55428
-3.77996	0.582378	186.697 	0.451665	413.44  	393	161	-8.7587
2.53493 	2.29    	183.12  	0.445632	410.994 	392	159	42.094
1.55546 	-1.06499	187.485 	0.452209	414.62  	394	161	-34.3985
-0.094968	-0.947992	187.043 	0.451346	414.416 	394	162	84.2794
1.04982 	0.848057	190.264 	0.457503	415.886 	394	157	38.9317
2.09234 	0.182703	185.851 	0.449064	413.888 	394	157	4.99042
0.89899 	2.00532 	187.671 	0.452567	414.709 	394	157	65.8532
0.436706	-0.423317	188.33  	0.454725	414.164 	393	159	-44.1081
0.476514	1.49139 	187.521 	0.452266	414.641 	394	155	72.2809
-0.013902	-3.21424	178.672 	0.435094	410.719 	394	161	89.7523
-2.10965	1.42771 	186.365 	0.450066	414.122 	394	157	-34.0882
0.693212	2.3885  	190.842 	0.459544	415.322 	393	157	73.8158
-2.24724	-0.836393	184.883 	0.447204	413.455 	394	159	20.4146
1.80641 	0.476829	188.94  	0.454991	415.281 	394	160	14.7869
0.633759	-0.693157	184.695 	0.447722	412.527 	393	157	-47.5631
1.87798 	-0.650392	185.83  	0.449025	413.876 	394	160	-19.1023
-2.13772	0.827707	184.507 	0.446473	413.286 	394	159	-21.166
2.78148 	-1.29087	188.089 	0.453394	414.901 	394	161	-24.8957
-2.22455	3.21203 	180.27  	0.438263	411.425 	394	158	-55.2948
1.71465 	2.77982 	190.345 	0.457706	415.929 	394	162	58.3329
0.148163	-0.678921	185.654 	0.448667	413.794 	394	159	-77.6892
1.07806 	-1.24575	187.29  	0.452742	413.696 	393	158	-49.1274
1.45071 	1.76388 	186.661 	0.451542	413.417 	393	156	50.5643
0.842616	1.57841 	186.992 	0.451258	414.399 	394	159	61.9051
-0.146275	0.42029 	186.287 	0.449887	414.077 	394	160	-70.8105
-1.54498	3.32124 	185.05  	0.448477	412.701 	393	157	-65.0531
1.54344 	0.460958	186.914 	0.452017	413.527 	393	157	16.6286
0.007047	-4.16308	185.843 	0.449123	413.895 	394	163	-89.9031
1.609   	-1.10417	188.526 	0.454201	415.094 	394	159	-34.4597
2.46544 	-2.62436	184.964 	0.447399	413.5   	394	159	-46.7884
3.79469 	-0.070217	182.229 	0.442096	412.283 	394	161	-1.06008
1.01441 	2.4782  	190.276 	0.457555	415.895 	394	160	67.7391
-2.6353 	-0.735689	185.644 	0.448684	413.798 	394	159	15.598
-1.56666	-1.04287	187.594 	0.453332	413.832 	393	161	33.6503
4.12748 	1.29754 	184.315 	0.446172	413.217 	394	159	17.4514
1.72958 	-0.814194	185.346 	0.448087	413.66  	394	158	-25.2085
2.44418 	0.636467	187.506 	0.454093	412.962 	392	158	14.5957
-1.60776	1.78187 	188.716 	0.454572	415.186 	394	156	-47.9405
-2.98654	-1.59209	186.795 	0.451836	413.48  	393	161	28.0616
-0.352775	-0.446706	189.257 	0.455582	415.421 	394	161	51.701
2.55385 	0.59932 	186.861 	0.451024	414.345 	394	158	13.2068
-1.88085	2.45485 	186.634 	0.450602	414.245 	394	159	-52.5415
-4.08443	0.434597	188.221 	0.4546  	414.136 	393	158	-6.07362
-1.33719	-0.952402	187.09  	0.452356	413.607 	393	157	35.4602
-1.08319	-1.20945	184.488 	0.446423	413.273 	394	160	48.1522
5.2366  	-3.67505	184.557 	0.447668	412.51  	393	161	-35.0613
-2.74914	0.354308	185.83  	0.449042	413.883 	394	157	-7.34378
1.79889 	0.445308	190.245 	0.457477	415.877 	394	159	13.9038
0.361428	1.65366 	189.186 	0.455452	415.397 	394	155	77.6713
