     p_x	     p_y	     p_z	       v	       E	A	Z	polar angle

-0.330856	0.039965	0.339677	0.245747	1.93638 	2	1	-6.88755
-0.432495	0.094193	0.481878	0.329327	1.98683 	2	2	-12.2866
0.108721	-0.132353	1.25425 	0.559143	2.26398 	2	1	-50.5987
-0.418691	0.334518	1.54053 	0.501214	3.25427 	3	1	-38.6235
-0.832737	0.475411	1.90503 	0.750507	2.84174 	2	0	-29.7221
-0.842961	0.468165	2.31354 	0.80028 	3.13195 	2	0	-29.047
-1.19247	0.801438	3.80617 	0.907933	4.48087 	2	0	-33.9043
-0.849129	0.86685 	5.27069 	0.944672	5.72534 	2	0	-45.5917
-0.896184	1.53877 	6.50598 	0.963359	7.00183 	2	0	-59.7834
-0.536555	2.09619 	7.77386 	0.973997	8.2848  	2	1	-75.6425
-0.639889	1.89843 	8.75375 	0.978824	9.17434 	2	0	-71.3731
0.228381	2.37354 	9.44157 	0.981926	9.91727 	2	1	84.504
0.06281 	2.87794 	10.6163 	0.985751	11.1587 	2	1	88.7498
-0.003796	0.84979 	1.28041 	0.633491	2.42585 	2	1	-89.7441
0.421829	0.596425	1.60578 	0.68486 	2.57591 	2	1	54.7297
0.303612	0.808959	2.33589 	0.798756	3.11807 	2	2	69.4283
-0.155535	0.940245	2.56125 	0.824297	3.31533 	2	1	-80.6073
0.270282	1.12563 	2.76451 	0.84764 	3.53581 	2	2	76.4981
0.372513	1.06065 	4.59154 	0.929414	5.08617 	2	1	70.6482
0.923599	0.632947	4.75713 	0.933452	5.23554 	2	0	34.4231
1.33505 	0.573543	6.28909 	0.960185	6.72241 	2	0	23.2486
1.2456  	0.713327	6.37024 	0.961044	6.79465 	2	0	29.7989
1.40085 	0.507437	6.75943 	0.965107	7.17193 	2	0	19.9122
1.36501 	0.519426	8.06838 	0.97476 	8.41182 	2	0	20.8333
1.635   	0.35108 	9.61436 	0.981982	9.93777 	2	0	12.119
1.45844 	0.421893	11.178  	0.986452	11.4356 	2	2	16.134
1.90026 	0.385024	13.1768 	0.990215	13.4503 	2	1	11.454
1.88882 	1.05275 	14.5197 	0.991924	14.7993 	2	1	29.1334
2.22919 	1.31461 	15.5468 	0.992976	15.8722 	2	0	30.5291
2.21041 	1.31978 	16.1817 	0.993496	16.4925 	2	0	30.8404
1.95632 	1.18075 	17.2528 	0.994228	17.5045 	2	0	31.1134
2.22219 	1.23886 	19.0049 	0.995238	19.2662 	2	0	29.1395
-0.143755	0.04622 	1.0436  	0.489987	2.15204 	2	2	-17.8236
-0.617183	0.576027	2.29753 	0.793543	3.08456 	2	1	-43.0246
-0.415114	0.282421	2.36911 	0.790232	3.06458 	2	0	-34.2293
0.424074	1.57826 	5.01705 	0.81475 	6.47623 	4	1	74.9601
0.603623	1.50976 	5.28591 	0.946893	5.8405  	2	0	68.2079
0.504339	1.69578 	5.40895 	0.949679	5.99248 	2	1	73.4371
0.56155 	1.61505 	5.67812 	0.953334	6.22026 	2	0	70.8276
0.686236	2.11187 	7.27705 	0.970861	7.83666 	2	0	71.9989
0.13912 	-0.023548	0.371149	0.206962	1.91854 	2	1	-9.60706
-0.043052	0.264489	0.915833	0.453181	2.10563 	2	1	-80.7549
-0.134777	0.524879	1.37493 	0.618619	2.38898 	2	1	-75.5989
0.224153	0.363374	1.55426 	0.651485	2.47409 	2	1	58.331
0.67171 	0.656607	3.47127 	0.886609	4.05604 	2	2	44.3486
0.027995	0.555566	3.94552 	0.904563	4.40493 	2	0	87.1154
0.290187	0.029271	4.26536 	0.915721	4.66881 	2	2	5.75992
0.523881	0.117287	6.0077  	0.95488 	6.31664 	2	2	12.6194
0.723864	0.389851	6.75076 	0.963921	7.05518 	2	0	28.3056
-0.313309	-0.12227	1.42405 	0.614814	2.37995 	2	1	21.3184
0.020566	0.453738	1.99837 	0.737613	2.77834 	2	2	87.4049
-0.089526	0.521292	2.14159 	0.761777	2.89578 	2	2	-80.2552
0.158509	0.74343 	3.40622 	0.880706	3.96274 	2	1	77.9641
0.342107	0.441621	3.4421  	0.880543	3.9602  	2	1	52.2365
0.789456	0.013038	4.68806 	0.930129	5.11121 	2	1	0.946164
1.18144 	-0.00116	5.87715 	0.954314	6.28171 	2	1	-0.0562561
1.16238 	-0.102158	7.7465  	0.972475	8.05561 	2	1	-5.02264
1.30764 	-0.001004	9.6227  	0.981828	9.89088 	2	1	-0.0439913
1.10745 	0.067849	11.0284 	0.985963	11.2419 	2	1	3.50591
0.971996	0.215356	11.9534 	0.987964	12.1409 	2	0	12.4927
0.128227	-0.09106	0.774003	0.38785 	2.0364  	2	1	-35.3804
-0.649985	0.108018	2.15619 	0.768532	2.93368 	2	1	-9.4355
-0.449393	-0.003854	2.90431 	0.842776	3.48713 	2	1	0.491358
-0.470758	0.499045	3.95833 	0.905989	4.43421 	2	1	-46.6708
0.124202	0.439133	4.48251 	0.923031	4.8814  	2	0	74.2073
0.108708	0.741552	6.08557 	0.956157	6.41271 	2	0	81.6602
0.234392	0.667979	7.82096 	0.972631	8.0739  	2	2	70.6642
0.345034	1.43188 	8.4306  	0.976808	8.76149 	2	2	76.452
0.092067	1.56647 	10.0654 	0.983428	10.3587 	2	0	86.6365
-0.092726	-0.136637	0.352297	0.202972	1.9169  	2	1	55.838
-0.248138	0.708684	2.23617 	0.782662	3.01391 	2	2	-70.7029
-0.206305	0.949594	2.89527 	0.851955	3.58469 	2	1	-77.7427
-0.240709	0.367605	2.97971 	0.848816	3.5484  	2	2	-56.7831
-0.226012	0.967816	4.12069 	0.914366	4.63583 	2	1	-76.8555
-0.181264	0.07522 	5.25509 	0.941749	5.58403 	2	0	-22.5372
-0.254483	0.231266	5.35246 	0.943871	5.68245 	2	1	-42.2636
-0.642343	0.197311	7.31635 	0.96885 	7.58336 	2	0	-17.0756
-0.715138	-0.262706	9.15319 	0.97973 	9.37487 	2	0	20.1708
-1.02653	-0.738432	10.16   	0.98359 	10.4092 	2	0	35.7292
-0.487626	0.800514	0.137013	0.45075 	2.10161 	2	2	-58.6527
-0.63963	0.687191	1.17186 	0.62468 	2.4037  	2	1	-47.053
-0.199862	0.432882	2.25387 	0.775257	2.9716  	2	1	-65.2172
-0.221695	0.026428	3.34352 	0.872455	3.84085 	2	1	-6.79809
-1.04656	0.052862	4.22964 	0.918419	4.74458 	2	1	-2.89156
-0.607477	0.305611	4.39107 	0.921183	4.8236  	2	1	-26.7062
-1.01681	0.371371	5.46684 	0.947641	5.8809  	2	0	-20.0639
-0.844158	0.155552	6.50495 	0.961434	6.82454 	2	1	-10.4407
-0.888119	0.090226	7.63347 	0.971419	7.91161 	2	0	-5.80091
-0.811153	0.062532	8.65163 	0.977458	8.89021 	2	1	-4.40823
-1.02039	-0.103492	9.51453 	0.981322	9.75179 	2	2	5.79136
-1.44   	0.353455	11.547  	0.971951	11.9778 	3	0	-13.7908
-1.521  	0.419899	13.2266 	0.990207	13.4521 	2	0	-15.4331
-0.059719	0.162564	1.25663 	0.560143	2.26462 	2	2	-69.8289
-0.316068	0.246215	1.51101 	0.639755	2.44347 	2	0	-37.9184
-0.264708	-0.187017	1.83489 	0.704511	2.6448  	2	1	35.2414
-0.512082	-0.617125	2.81227 	0.841434	3.47546 	2	0	50.3146
-0.58352	-0.441029	2.72493 	0.832448	3.38926 	2	0	37.0823
0.054278	-0.360018	5.43293 	0.823301	6.61376 	4	2	-81.4265
-0.089155	-0.576907	5.73529 	0.950869	6.0628  	2	1	81.2151
-0.170206	-0.777979	6.39567 	0.960112	6.71282 	2	1	77.6594
-0.339449	-1.2805 	8.08878 	0.974794	8.40848 	2	2	75.153
0.035592	-0.960236	9.42772 	0.980924	9.66085 	2	0	-87.8773
-0.318125	0.038824	1.13353 	0.531772	2.21517 	2	2	-6.95798
-0.412299	-0.199849	1.32117 	0.597429	2.34063 	2	1	25.8604
0.011807	0.010794	1.76394 	0.684834	2.57582 	2	1	42.4337
-0.000595	-0.057873	2.02155 	0.73296 	2.75919 	2	1	89.411
0.161066	0.037608	3.0722  	0.85355 	3.60453 	2	0	13.1428
-0.226179	-0.157701	3.56446 	0.885289	4.03835 	2	0	34.8858
-0.561135	-0.341197	3.69657 	0.894353	4.19795 	2	0	31.3016
0.012653	-0.198396	4.10776 	0.909811	4.52024 	2	2	-86.3509
-0.297328	-0.012873	6.7042  	0.922107	7.27769 	3	1	2.47911
-0.087411	0.406518	8.00076 	0.973608	8.22873 	2	0	-77.8649
-0.146599	-0.352473	0.122766	0.208924	1.91936 	2	1	67.4169
-0.535445	-0.319803	0.42972 	0.374194	2.02405 	2	1	30.8485
-0.731861	0.0426  	1.79516 	0.718329	2.69943 	2	0	-3.3313
-1.24659	-0.104847	2.25084 	0.807962	3.18718 	2	0	4.80768
-1.27395	0.014514	3.65665 	0.899764	4.30362 	2	0	-0.652737
-1.34864	0.057002	4.11835 	0.917635	4.72292 	2	1	-2.42024
-1.15536	-0.070396	4.16333 	0.917132	4.71169 	2	0	3.48672
-1.55969	-0.64287	5.33153 	0.94797 	5.89898 	2	0	22.4004
-1.23   	-0.161672	7.05092 	0.967274	7.40144 	2	0	7.48807
-0.890189	0.303619	8.56364 	0.950511	9.06369 	3	1	-18.8331
-1.00636	-0.02116	10.054  	0.98318 	10.2771 	2	1	1.20454
0.24005 	0.073297	0.998876	0.481247	2.14012 	2	2	16.9796
0.804238	-0.630786	1.64524 	0.718305	2.69645 	2	2	-38.1081
0.752251	-1.04872	2.40235 	0.823741	3.31061 	2	1	-54.348
1.31841 	-0.833316	3.08076 	0.878696	3.92977 	2	2	-32.2955
1.98091 	-0.713094	3.2557  	0.900071	4.30757 	2	1	-19.7981
1.64842 	-0.613551	3.89637 	0.91563 	4.66889 	2	1	-20.4156
1.71772 	-0.371657	4.37201 	0.928939	5.07248 	2	0	-12.2087
2.35065 	-0.38364	5.84044 	0.958461	6.58077 	2	1	-9.26931
2.24485 	-0.473411	6.51698 	0.965021	7.15944 	2	1	-11.9085
2.08628 	-0.337982	8.36745 	0.977156	8.83199 	2	1	-9.2021
2.37647 	-0.493155	8.97565 	0.980226	9.48558 	2	1	-11.7234
2.01588 	-0.900397	10.3356 	0.984577	10.7344 	2	0	-24.068
2.07841 	-0.873064	12.0774 	0.988518	12.4287 	2	0	-22.7855
-0.448609	-0.336006	0.41023 	0.347048	2.00139 	2	1	36.8331
-0.472974	-0.630693	1.46584 	0.66326 	2.50939 	2	0	53.1328
-0.901711	-0.872508	3.15341 	0.875193	3.87785 	2	2	44.0571
-1.58509	-1.50195	5.8461  	0.911499	6.84654 	3	1	43.4573
-1.87437	-1.59506	6.19261 	0.962507	6.92335 	2	0	40.3973
-2.56492	-1.76306	8.01001 	0.976943	8.79627 	2	0	34.5036
-2.64519	-1.58403	8.81451 	0.980391	9.52496 	2	1	30.9146
-2.69596	-1.3153 	9.62164 	0.983078	10.2519 	2	0	26.0067
-2.60007	-1.65291	10.1736 	0.966678	10.9963 	3	2	32.4448
-2.29763	-2.06517	11.8525 	0.988461	12.3915 	2	1	41.9501
-2.22125	-2.0779 	12.769  	0.98992 	13.2599 	2	0	43.0902
0.35909 	-0.544274	1.85646 	0.723393	2.72002 	2	0	-56.5848
0.458624	-0.931456	2.20241 	0.791991	3.07436 	2	1	-63.7857
-0.35905	-1.01951	3.60423 	0.800726	4.69926 	3	2	70.5988
0.087438	-1.15163	4.3522  	0.923017	4.87838 	2	1	-85.6582
0.159466	-1.11759	5.76941 	0.952623	6.17119 	2	1	-81.8795
0.416661	-1.4924 	6.86442 	0.966186	7.28341 	2	0	-74.4009
0.182877	0.519761	0.919566	0.495942	2.16156 	2	1	70.6157
-0.140755	0.747475	1.79051 	0.71964 	2.70326 	2	1	-79.3357
-0.462232	1.1457  	3.88565 	0.90837 	4.48862 	2	1	-68.0285
-0.940027	1.0469  	4.86578 	0.937747	5.40137 	2	2	-48.0789
-1.35092	1.07211 	5.6068  	0.952431	6.15904 	2	1	-38.4362
-0.426247	0.179968	-0.161791	0.25279 	1.93898 	2	2	-22.8902
-0.395815	0.403454	0.293683	0.321343	1.98213 	2	1	-45.5476
0.103834	0.495478	2.13494 	0.759887	2.88745 	2	1	78.1643
-0.54419	0.435281	4.29931 	0.83994 	5.18539 	3	3	-38.6553
-0.968267	-0.117843	5.49311 	0.947797	5.88632 	2	1	6.93907
-0.842677	-0.26368	5.77343 	0.952044	6.13476 	2	1	17.3753
-0.390483	-0.603795	7.14643 	0.967476	7.42398 	2	0	57.1087
-0.257369	-0.429072	7.07981 	0.966764	7.34147 	2	1	59.0436
-0.384907	-0.203756	7.66634 	0.97137 	7.90502 	2	0	27.8952
-0.398628	-0.1152 	9.25849 	0.98008 	9.45615 	2	0	16.1188
0.330352	0.110176	1.14357 	0.537387	2.2245  	2	2	18.4441
0.428428	0.374421	1.18482 	0.573596	2.29143 	2	1	41.1516
-0.03262	0.512826	1.43515 	0.63042 	2.41802 	2	1	-86.3605
0.113792	0.461619	2.89155 	0.842198	3.47943 	2	2	76.1524
0.459732	0.128959	4.09168 	0.910073	4.5265  	2	2	15.6693
0.544372	0.22413 	4.65515 	0.928401	5.0541  	2	0	22.3781
0.284585	0.587244	5.27659 	0.942963	5.63839 	2	1	64.1447
-0.183745	-0.345896	6.2558  	0.95797 	6.54306 	2	1	62.0222
-0.391977	-0.199401	6.56517 	0.9616  	6.84264 	2	0	26.9627
-0.475254	-0.127026	7.82502 	0.972492	8.06224 	2	0	14.9642
-0.431168	0.015445	-0.00968	0.224184	1.925   	2	2	-2.05153
-0.345525	-0.374833	0.334656	0.309142	1.97263 	2	2	47.3299
-0.526001	0.112553	2.63448 	0.690716	3.89282 	3	2	-12.0779
-0.600419	-0.123355	3.34918 	0.770814	4.41716 	3	3	11.6098
-0.627419	0.332604	4.41973 	0.92221 	4.85401 	2	1	-27.9287
-0.848776	0.617934	4.90278 	0.936466	5.3541  	2	0	-36.0558
-1.35083	0.665715	4.91024 	0.939183	5.46857 	2	0	-26.235
-1.09694	0.157252	5.62137 	0.836317	6.85094 	4	0	-8.15804
-1.13396	0.191147	7.03373 	0.967026	7.37013 	2	1	-9.56817
-1.41595	0.208704	6.94071 	0.966668	7.3311  	2	1	-8.38476
-1.31605	-0.022523	7.4667  	0.970666	7.81095 	2	0	0.980471
-1.3638 	0.027028	8.77107 	0.978366	9.07278 	2	1	-1.13535
-1.23514	0.488546	10.2412 	0.98388 	10.4961 	2	1	-21.5808
-1.57544	0.411239	10.4603 	0.984627	10.7516 	2	0	-14.6296
-1.64309	0.373987	12.0679 	0.98833 	12.3288 	2	0	-12.8228
-0.273239	-0.329594	0.988325	0.497705	2.16407 	2	1	50.3407
-0.618199	-0.73659	1.77381 	0.732176	2.75577 	2	1	49.9943
-0.225316	-0.661734	2.11721 	0.765009	2.91451 	2	1	71.1967
-0.423325	-0.596049	3.89374 	0.903793	4.3835  	2	2	54.617
-0.611029	-0.812826	5.41045 	0.946498	5.81637 	2	1	53.0666
-0.809387	-1.04928	7.04365 	0.967377	7.40893 	2	1	52.3543
-0.442648	-0.601266	7.45687 	0.970006	7.72588 	2	0	53.6398
-0.40554	-0.616342	8.86625 	0.978439	9.09294 	2	0	56.656
-0.188986	0.072001	1.47494 	0.621418	2.39572 	2	1	-20.8562
-0.55426	0.188208	2.00255 	0.74342 	2.80642 	2	1	-18.7558
-0.309232	0.134076	3.30532 	0.870553	3.81649 	2	0	-23.4405
-0.351794	0.15955 	3.82064 	0.89842 	4.2743  	2	1	-24.3959
-0.004078	0.343632	4.40753 	0.920472	4.80287 	2	1	-89.3202
-0.344026	0.014118	4.83259 	0.932401	5.19609 	2	0	-2.34996
0.188645	0.762281	6.05209 	0.95577 	6.38524 	2	0	76.1001
0.31022 	0.807336	7.8299  	0.972739	8.09829 	2	0	68.9807
0.238615	1.00783 	8.10669 	0.974625	8.38535 	2	1	76.68
0.570842	0.960032	9.54386 	0.98147 	9.79041 	2	2	59.264
0.44261 	1.09905 	11.0668 	0.986062	11.2874 	2	0	68.0643
0.011871	0.392556	0.445945	0.301967	1.96786 	2	2	88.268
-0.43191	0.163247	1.87524 	0.717107	2.69311 	2	1	-20.7049
0.003174	0.224136	2.45653 	0.795807	3.09966 	2	1	89.1888
-0.553283	0.503921	3.75154 	0.897848	4.26069 	2	2	-42.3268
-0.411572	0.769523	4.88873 	0.935413	5.3089  	2	1	-61.8604
-0.079492	0.413977	5.50074 	0.890679	6.19401 	3	1	-79.1304
-0.547469	0.96937 	6.47799 	0.961523	6.83598 	2	0	-60.5437
-0.768758	0.831285	6.75219 	0.964377	7.09937 	2	0	-47.2379
-0.802167	0.675449	6.69709 	0.963736	7.03376 	2	1	-40.0984
-0.851826	0.717385	8.52577 	0.976968	8.8009  	2	0	-40.1032
-0.942344	0.472718	8.54944 	0.97705 	8.81653 	2	0	-26.6402
