       p_x	       p_y	       p_z	       v	       E	A	Z	polar angle

  0.650255	  -1.27288	    133.09	0.348813	 23.9657	381	152	62.9397
  0.088586	 -0.963259	  0.136942	0.461698	0.239033	2	1	84.7457
 -0.574057	 -0.084968	  0.614167	0.669298	 0.32446	1	1	171.581
  0.330951	   1.63667	   1.45478	0.618313	0.766735	3	2	78.5684
  0.304385	 -0.273217	  0.688093	0.648744	0.294893	1	0	41.9113
  0.703618	   0.10998	   0.62016	0.709483	0.393021	1	1	8.88382
 -0.073423	 -0.553597	  0.384531	0.585823	0.219397	1	1	97.5551
 -0.415946	  0.051273	  0.914307	0.730957	0.436979	1	0	172.973
  -0.47006	 -0.251391	  0.589114	0.645918	0.291012	1	0	151.862
  0.409933	  -0.08507	  0.929154	0.735425	 0.44676	1	0	11.7237
 -0.325783	  0.402129	   0.71079	0.683498	0.347385	1	0	129.013
  -1.16166	  -1.26717	   133.491	0.350551	 24.1664	380	152	132.513
 -0.519771	  -0.26857	 -0.010468	0.529284	0.167552	1	1	152.674
  0.022457	 -0.459825	 -0.006461	0.440253	0.106804	1	0	87.2041
 -0.728676	 -0.188356	  0.811252	0.762488	0.512309	1	0	165.507
 -0.367204	  -1.00999	  0.641318	0.554541	0.378787	2	0	109.98
  0.301011	  0.614693	  0.800316	0.746727	 0.47225	1	1	63.9094
   0.31967	  0.435822	  0.591481	0.649499	0.295622	1	1	53.7405
 -0.361521	  0.066408	  0.882517	0.713796	0.401324	1	1	169.591
   0.43427	 -0.188762	   0.71043	0.673125	0.330375	1	1	23.4929
 -0.159017	  0.475292	  0.997093	0.765506	0.519816	1	1	108.499
 -0.081857	  0.081476	    1.0826	0.757261	0.498732	1	0	135.134
 -0.127452	  0.808395	  0.669165	0.747646	0.474948	1	0	98.9596
   0.40914	  0.391489	  0.383021	0.588583	0.222501	1	0	43.7371
  0.177732	  0.037841	 -0.315671	0.361645	0.0681692	1	0	12.0194
  -2.18218	   5.04079	   139.519	0.362883	 26.2281	382	154	113.408
  0.418013	 -0.342669	  0.712696	0.689733	0.357848	1	0	39.3435
  0.093225	  0.098869	  0.971035	0.722225	0.418607	1	0	46.683
 -0.181305	 -0.433758	  0.967528	0.753352	0.488883	1	0	112.684
  0.420303	  -0.21046	  0.993881	0.760748	0.507196	1	1	26.5987
  -0.58058	  0.322832	  0.820706	0.747602	0.474337	1	1	150.924
 -0.006844	 -0.394449	   0.84092	0.703637	0.382086	1	1	90.9941
  -0.45613	  0.333862	  0.093206	0.521232	0.161113	1	1	143.798
   -0.3777	  0.438818	  0.396238	0.598545	0.233154	1	0	130.719
 -0.150924	 -0.618123	  0.438884	0.635545	0.277221	1	0	103.721
  0.569312	 -0.131216	  0.813463	0.729512	0.433872	1	0	12.979
  0.137389	 -0.680641	  0.429963	0.656265	0.305483	1	0	78.5881
 -0.050973	  -0.12117	  0.989743	0.728456	0.431618	1	0	112.815
  -1.37336	  0.416798	   133.738	0.354382	 24.4934	376	151	163.118
  -0.54009	 -0.052848	  0.931908	0.754515	0.491261	1	1	174.412
 -0.528649	  0.014114	  0.747637	0.698576	0.372906	1	1	178.471
  0.102489	 -0.672223	  0.689571	0.717939	0.409932	1	0	81.3314
  0.318663	 -0.511325	  0.354787	0.597233	0.231724	1	0	58.0685
  0.371301	 -0.030738	  0.779607	0.677132	0.337055	1	0	4.73242
 -0.270084	  -0.44854	  0.182511	0.508466	0.151488	1	0	121.054
 -0.231805	  0.489052	  0.537074	0.630358	0.270576	1	0	115.361
  -0.73681	 -0.216579	  0.570677	0.713715	0.401593	1	0	163.62
  0.027303	  -0.69453	  0.424096	0.655129	0.303858	1	0	87.7489
 -0.429595	  0.249265	   0.32563	0.534539	0.172054	1	0	149.876
  0.226045	  0.082523	 -0.239146	0.340121	0.0594674	1	1	20.0558
 -0.058397	 -0.690722	  0.020824	0.594499	0.228527	1	1	94.8327
 -0.232912	  0.325487	 -0.074282	0.398106	0.0845222	1	1	125.587
  0.685752	  0.046509	  0.653692	0.711047	0.396008	1	1	3.87997
  0.412356	 -0.248799	  0.952478	0.751144	0.482914	1	1	31.1051
  0.550752	  0.368645	  0.563329	0.679561	0.340956	1	0	33.7963
