       p_x	       p_y	       p_z	       v	       E	A	Z	polar angle

  0.982055	  0.519076	  0.390613	0.243309	 0.14543	5	1	27.8592
 -0.284885	  0.753473	   1.23219	0.617133	0.508435	2	1	110.711
  0.259069	  0.463448	   8.02215	0.689385	 3.21414	9	3	60.7947
  -1.56807	  0.321378	  0.645374	0.677046	0.673118	2	2	168.418
  0.233361	 -0.815547	  0.563792	0.476948	0.258548	2	1	74.0321
  0.210314	  0.263747	  0.705984	0.164488	0.0647922	5	3	51.4309
  -0.33916	 -0.713088	   2.14459	0.630286	0.810881	3	2	115.437
  -0.15035	 -0.147406	  0.459501	0.474368	0.127513	1	1	135.567
  0.513172	 -0.810813	  0.471912	 0.12559	0.0674156	9	4	57.6699
 -0.261352	 -0.760194	   3.93243	0.730435	 1.74202	4	3	108.973
  0.052195	 -0.114907	 -0.109268	0.175216	0.0147389	1	1	65.5708
 -0.424146	  0.880086	   5.63807	 0.42458	 1.27506	13	5	115.731
   0.01276	 -0.549502	   0.16396	0.521689	0.161474	1	1	88.6698
 -0.054451	  -0.27593	   1.52418	0.636721	0.557204	2	1	101.163
  0.401212	   0.50148	 -0.071361	0.223654	0.073187	3	1	51.3383
 -0.193778	  0.021489	  0.065561	0.0728506	0.00750242	3	1	173.672
 -0.938149	 -0.696075	  0.912259	0.367239	 0.28201	4	2	143.426
  0.173006	 -0.358247	  0.610605	0.613122	0.249626	1	0	64.2231
   0.28314	  0.133738	  0.369775	0.458957	0.117761	1	1	25.2832
  0.106251	 -0.309617	  0.221127	0.388126	0.0797883	1	1	71.0594
  0.065461	 -0.061294	 -0.357774	0.129917	0.0240613	3	2	43.1171
  0.419487	  0.403455	  0.599582	0.406702	0.177598	2	1	43.884
 -0.043684	  0.380609	  0.520074	0.567168	  0.2009	1	1	96.5475
  0.172916	 -0.078931	  0.494655	0.491878	0.139338	1	1	24.5353
 -0.392255	   0.87953	  0.514805	0.226632	0.125372	5	2	114.036
  0.121283	 -0.046636	  -0.05935	0.150559	0.0108155	1	1	21.0329
  0.029609	  0.165035	  0.552238	0.524032	0.163328	1	1	79.8288
 -0.382323	 -0.304597	   0.39218	 0.55554	0.190095	1	1	141.456
  0.240084	   0.13604	 -0.020302	0.282653	0.039918	1	0	29.5374
 -0.953865	  0.089605	   1.09355	0.361148	  0.2717	4	2	174.634
 -0.223102	 -0.048664	   1.35477	0.280903	0.196928	5	1	167.695
 -0.126931	  0.041334	  0.136441	0.199412	0.0192252	1	1	161.963
  0.325148	   0.10565	  0.830706	0.691661	0.360768	1	1	18.0005
  0.684958	  0.047291	  0.864324	0.762029	0.510552	1	1	3.94956
  0.727751	   0.60877	   1.18927	 0.30844	0.240489	5	3	39.9128
 -0.486265	 -0.558272	  -0.07335	0.130983	0.0489351	6	3	131.057
  0.039233	  0.351017	 -0.221856	 0.40631	0.0885555	1	1	83.6226
  0.209493	  0.064856	  0.432408	0.459175	0.117895	1	1	17.2018
 -0.069435	  0.151413	  0.316394	0.356196	0.0658408	1	1	114.635
 -0.285958	   0.32098	  0.248849	0.467981	  0.1234	1	1	131.698
  0.695099	 -0.153514	  0.595655	0.703379	0.381613	1	1	12.454
   0.29052	  -0.48729	  0.206478	0.541219	0.177496	1	1	59.1969
  0.408808	 -0.312618	  0.567853	0.632697	0.273262	1	1	37.4054
  0.007038	  0.226323	  0.070628	0.245153	0.0295246	1	1	88.2189
 -0.511607	 -0.240415	  0.964865	0.766156	0.521572	1	1	154.83
  0.241274	 -0.436534	  0.361824	0.549048	 0.18429	1	1	61.0705
    -1.171	  0.414243	   1.01842	 0.49573	0.426157	3	3	160.519
 -0.317093	  0.043828	 -0.048475	0.325958	0.054247	1	0	172.131
  0.260544	 -0.206508	  0.649594	0.250767	0.0929811	3	0	38.4005
 -0.033605	  -0.19225	  -0.01487	0.204268	0.0202038	1	1	99.9151
  0.010306	  0.168364	   1.76485	0.532918	0.511767	3	2	86.4972
 -0.224561	  0.110474	  0.064108	0.265534	0.0349265	1	1	153.805
  0.231934	  0.182598	   0.15473	0.334805	 0.05745	1	1	38.2128
   0.37165	  0.413406	  0.764667	0.709497	0.393466	1	0	48.0447
  0.203373	 -0.328024	  0.374818	0.497536	0.143338	1	1	58.2014
   1.08054	  0.598061	   1.53564	0.573353	0.621044	3	1	28.9639
 -0.125264	 -0.035867	  0.192614	0.240632	0.0283962	1	1	164.022
 -0.187991	  0.552708	  0.438579	0.614273	0.250706	1	1	108.785
   0.43136	  0.212573	 -0.029944	0.456917	0.116514	1	1	26.234
  0.518921	 -0.303492	   1.50711	0.653973	0.604105	2	1	30.3213
 -0.453621	  0.277908	  0.925297	0.751148	0.482923	1	1	148.507
 -0.091804	 -0.076016	 -0.154003	0.203276	0.0200017	1	1	140.375
 -0.119724	  0.182476	 -0.078409	0.240006	0.0282418	1	1	123.269
  0.062566	  -0.32709	  0.802523	0.679559	0.340589	1	1	79.1713
 -0.589521	  0.114196	   1.46953	0.645765	0.581299	2	1	169.037
  0.026692	 -0.278713	  0.180518	0.334676	0.0574015	1	1	84.5296
 -0.376577	  -0.04568	  0.195394	0.221677	0.0478908	2	1	173.084
 -0.343661	  0.239718	  0.634515	0.629317	0.269262	1	0	145.103
  0.689426	 -0.424249	   1.40856	0.654441	0.605433	2	1	31.6067
 -0.229321	  0.577261	  0.332217	0.600085	0.234843	1	0	111.666
  0.296794	 -0.121949	  0.387444	 0.47224	0.126266	1	0	22.3372
 -0.092811	  -0.59366	  0.400995	0.359013	0.134145	2	0	98.8856
 -0.015015	 -0.267838	   -0.0302	0.276299	0.0380341	1	0	93.2087
 -0.195567	  0.344181	   1.42009	0.617678	0.509732	2	1	119.606
 -0.156138	 -0.171498	  0.130512	0.272676	0.0369841	1	0	132.316
  0.165435	  0.139269	 -0.116944	 0.25328	 0.03165	1	0	40.0919
 -0.330801	 -0.561042	   12.2997	0.611028	 4.20068	17	6	120.525
 -0.199208	  0.014654	 -0.032639	0.210704	0.0215649	1	0	175.793
 -0.199085	  0.252226	  0.455519	0.284699	0.0810295	2	1	128.285
 -0.427708	 -0.038228	   1.90435	0.720664	0.830844	2	0	174.893
  0.301092	  0.145542	  0.214186	0.389527	0.0805271	1	0	25.7982
  0.094131	 -0.043609	   0.34885	0.361396	0.0680649	1	0	24.8574
  0.180214	 -0.828333	   1.70776	0.560641	0.584723	3	1	77.7259
 -0.050551	  -0.25259	  0.349777	0.419865	0.095612	1	0	101.317
  0.276494	 -0.583614	  0.765539	 0.47057	0.250377	2	0	64.6502
  -0.05624	  0.269449	  0.496071	0.517121	0.158075	1	0	101.79
  0.145684	 -0.554395	   1.24109	  0.3421	0.241111	4	1	75.2767
  0.124996	  0.314099	 -0.246825	0.217545	0.0460813	2	0	68.2999
 -0.010514	  0.189521	  0.820928	0.667863	0.322615	1	0	93.1754
  0.454964	  0.205931	   0.30048	0.527363	0.166174	1	0	24.353
   0.40106	  0.311508	   1.19784	0.810869	0.665502	1	0	37.8369
 -0.246172	  0.110416	  0.652697	0.601095	0.235958	1	0	155.842
 -0.087199	 -0.180687	  0.095584	0.230308	0.0259398	1	0	115.762
  0.643821	  -0.13956	  0.320317	0.615084	0.251927	1	0	12.2307
  0.046961	  0.576358	  0.527983	0.267905	0.106844	3	1	85.342
 -0.219086	  -0.27085	  0.037643	0.349935	0.0633088	1	1	128.969
