# proton+antiproton -> gamma* -> electron+positron 
# E=[2:5] [GeV] , Q=[1:E] [GeV] , sigma [nbarn * GeV-2] 
# N_E=100 , N_Q = 100 , Num. of Rows = N_E*N_Q  
     100     100
2.000000E+000 1.000000E+000 5.717480E-002 
2.000000E+000 1.010000E+000 4.902380E-002 
2.000000E+000 1.020000E+000 4.198620E-002 
2.000000E+000 1.030000E+000 3.591722E-002 
2.000000E+000 1.040000E+000 3.068842E-002 
2.000000E+000 1.050000E+000 2.618808E-002 
2.000000E+000 1.060000E+000 2.231892E-002 
2.000000E+000 1.070000E+000 1.899658E-002 
2.000000E+000 1.080000E+000 1.614658E-002 
2.000000E+000 1.090000E+000 1.370508E-002 
2.000000E+000 1.100000E+000 1.161660E-002 
2.000000E+000 1.110000E+000 9.831740E-003 
2.000000E+000 1.120000E+000 8.309080E-003 
2.000000E+000 1.130000E+000 7.011380E-003 
2.000000E+000 1.140000E+000 5.907480E-003 
2.000000E+000 1.150000E+000 4.969640E-003 
2.000000E+000 1.160000E+000 4.174300E-003 
2.000000E+000 1.170000E+000 3.500598E-003 
2.000000E+000 1.180000E+000 2.931016E-003 
2.000000E+000 1.190000E+000 2.450278E-003 
2.000000E+000 1.200000E+000 2.045122E-003 
2.000000E+000 1.210000E+000 1.704300E-003 
2.000000E+000 1.220000E+000 1.418008E-003 
2.000000E+000 1.230000E+000 1.177962E-003 
2.000000E+000 1.240000E+000 9.770180E-004 
2.000000E+000 1.250000E+000 8.090580E-004 
2.000000E+000 1.260000E+000 6.689520E-004 
2.000000E+000 1.270000E+000 5.522920E-004 
2.000000E+000 1.280000E+000 4.553160E-004 
2.000000E+000 1.290000E+000 3.748092E-004 
2.000000E+000 1.300000E+000 3.080736E-004 
2.000000E+000 1.310000E+000 2.528406E-004 
2.000000E+000 1.320000E+000 2.071912E-004 
2.000000E+000 1.330000E+000 1.695218E-004 
2.000000E+000 1.340000E+000 1.384758E-004 
2.000000E+000 1.350000E+000 1.129246E-004 
2.000000E+000 1.360000E+000 9.188780E-005 
2.000000E+000 1.370000E+000 7.462060E-005 
2.000000E+000 1.380000E+000 6.048840E-005 
2.000000E+000 1.390000E+000 4.894020E-005 
2.000000E+000 1.400000E+000 3.952000E-005 
2.000000E+000 1.410000E+000 3.184970E-005 
2.000000E+000 1.420000E+000 2.561466E-005 
2.000000E+000 1.430000E+000 2.055572E-005 
2.000000E+000 1.440000E+000 1.645932E-005 
2.000000E+000 1.450000E+000 1.314838E-005 
2.000000E+000 1.460000E+000 1.047774E-005 
2.000000E+000 1.470000E+000 8.328080E-006 
2.000000E+000 1.480000E+000 6.601740E-006 
2.000000E+000 1.490000E+000 5.218160E-006 
2.000000E+000 1.500000E+000 4.112360E-006 
2.000000E+000 1.510000E+000 3.230342E-006 
2.000000E+000 1.520000E+000 2.528976E-006 
2.000000E+000 1.530000E+000 1.972770E-006 
2.000000E+000 1.540000E+000 1.533072E-006 
2.000000E+000 1.550000E+000 1.186550E-006 
2.000000E+000 1.560000E+000 9.143940E-007 
2.000000E+000 1.570000E+000 7.014040E-007 
2.000000E+000 1.580000E+000 5.353820E-007 
2.000000E+000 1.590000E+000 4.064860E-007 
2.000000E+000 1.600000E+000 3.068728E-007 
2.000000E+000 1.610000E+000 2.302572E-007 
2.000000E+000 1.620000E+000 1.716308E-007 
2.000000E+000 1.630000E+000 1.270264E-007 
2.000000E+000 1.640000E+000 9.329000E-008 
2.000000E+000 1.650000E+000 6.794400E-008 
2.000000E+000 1.660000E+000 4.903900E-008 
2.000000E+000 1.670000E+000 3.504094E-008 
2.000000E+000 1.680000E+000 2.477030E-008 
2.000000E+000 1.690000E+000 1.730596E-008 
2.000000E+000 1.700000E+000 1.193732E-008 
2.000000E+000 1.710000E+000 8.119460E-009 
2.000000E+000 1.720000E+000 5.438560E-009 
2.000000E+000 1.730000E+000 3.581690E-009 
2.000000E+000 1.740000E+000 2.315150E-009 
2.000000E+000 1.750000E+000 1.465812E-009 
2.000000E+000 1.760000E+000 9.069080E-010 
2.000000E+000 1.770000E+000 5.467820E-010 
2.000000E+000 1.780000E+000 3.202184E-010 
2.000000E+000 1.790000E+000 1.814196E-010 
2.000000E+000 1.800000E+000 9.895960E-011 
2.000000E+000 1.810000E+000 5.166100E-011 
2.000000E+000 1.820000E+000 2.561998E-011 
2.000000E+000 1.830000E+000 1.195366E-011 
