#Equation of state
#    aval     bval    tauval    cval   lambda
#  -.02609   .05659  1.76418  -.06465  2.16817
#     BE      rho0     Comp   dE/dpf   U(p=0)
#  -.01600   .16800   .29000   .00000  -.07501
#
# Nuclear Potential at rho/rho0=    1.00
#     p[GeV]   U[GeV]
     .000     -.07501
     .050     -.07410
     .100     -.07143
     .150     -.06723
     .200     -.06178
     .250     -.05546
     .300     -.04866
     .350     -.04173
     .400     -.03497
     .450     -.02857
     .500     -.02266
     .550     -.01731
     .600     -.01251
     .650     -.00825
     .700     -.00448
     .750     -.00115
     .800      .00178
     .850      .00436
     .900      .00665
     .950      .00867
    1.000      .01046
    1.050      .01206
    1.100      .01348
    1.150      .01475
    1.200      .01589
    1.250      .01692
    1.300      .01784
    1.350      .01868
    1.400      .01944
    1.450      .02013
    1.500      .02076
    1.550      .02134
    1.600      .02187
    1.650      .02235
    1.700      .02279
    1.750      .02321
    1.800      .02358
    1.850      .02394
    1.900      .02426
    1.950      .02456
    2.000      .02484
