# r     Spp0     Spp1     Szp0     Szp1     Szn0     Szn1     LN0      LN1
 0.10 1904.986 1917.034 2404.268 1592.596 2903.549 1268.159 2071.413  943.722
 0.20  816.859 1022.930 1005.587  818.016 1194.315  613.102  879.768  408.189
 0.30  342.632  549.846  474.085  419.561  605.537  289.275  386.450  158.990
 0.40  141.177  311.071  245.485  227.427  349.793  143.782  175.947   60.138
 0.50   43.068  177.730  125.337  122.232  207.607   66.733   70.491   11.235
 0.60   -1.793  100.323   70.670   62.757  143.133   25.192   22.361  -12.374
 0.70  -20.517   56.373   46.385   30.354  113.288    4.334    1.784  -21.685
 0.80  -27.482   31.571   32.449   13.130   92.380   -5.312   -7.505  -23.753
 0.90  -29.094   17.247   22.187    3.960   73.467   -9.326  -12.000  -22.612
 1.00  -27.877    8.918   14.280   -0.807   56.438  -10.532  -13.825  -20.257
 1.10  -24.928    4.266    8.546   -3.004   42.021  -10.274  -13.770  -17.545
 1.20  -20.984    1.865    4.740   -3.693   30.464   -9.251  -12.409  -14.809
 1.30  -16.697    0.740    2.442   -3.569   21.581   -7.878  -10.317  -12.187
 1.40  -12.609    0.265    1.182   -3.078   14.973   -6.422   -8.012   -9.765
 1.50   -9.075    0.085    0.554   -2.479   10.182   -5.044   -5.865   -7.608
 1.60   -6.254    0.023    0.266   -1.905    6.786   -3.833   -4.081   -5.761
 1.70   -4.147    0.005    0.140   -1.411    4.428   -2.828   -2.718   -4.244
 1.80   -2.659    0.001    0.083   -1.015    2.824   -2.031   -1.745   -3.046
 1.90   -1.656   -0.000    0.051   -0.712    1.757   -1.423   -1.087   -2.135
 2.00   -1.007   -0.000    0.029   -0.488    1.065   -0.976   -0.662   -1.464
 2.10   -0.601   -0.000    0.014   -0.329    0.628   -0.657   -0.396   -0.985
 2.20   -0.353   -0.000    0.003   -0.218    0.359   -0.435   -0.234   -0.653
 2.30   -0.205   -0.000   -0.003   -0.142    0.199   -0.284   -0.137   -0.426
 2.40   -0.118   -0.000   -0.005   -0.092    0.107   -0.184   -0.080   -0.276
 2.50   -0.067   -0.000   -0.006   -0.059    0.055   -0.118   -0.047   -0.176
 2.60   -0.038   -0.000   -0.005   -0.037    0.027   -0.075   -0.027   -0.112
 2.70   -0.022   -0.000   -0.004   -0.024    0.013   -0.047   -0.016   -0.071
 2.80   -0.012   -0.000   -0.003   -0.015    0.006   -0.030   -0.009   -0.045
 2.90   -0.007   -0.000   -0.002   -0.009    0.002   -0.019   -0.005   -0.028
 3.00   -0.004   -0.000   -0.002   -0.006    0.001   -0.012   -0.003   -0.018
 3.10   -0.002   -0.000   -0.001   -0.004    0.000   -0.007   -0.002   -0.011
 3.20   -0.001   -0.000   -0.001   -0.002   -0.000   -0.005   -0.001   -0.007
 3.30   -0.001   -0.000   -0.000   -0.001   -0.000   -0.003   -0.001   -0.004
 3.40   -0.000   -0.000   -0.000   -0.001   -0.000   -0.002   -0.000   -0.003
 3.50   -0.000   -0.000   -0.000   -0.001   -0.000   -0.001   -0.000   -0.002
 3.60   -0.000   -0.000   -0.000   -0.000   -0.000   -0.001   -0.000   -0.001
 3.70   -0.000   -0.000   -0.000   -0.000   -0.000   -0.000   -0.000   -0.001
 3.80   -0.000   -0.000   -0.000   -0.000   -0.000   -0.000   -0.000   -0.000
 3.90   -0.000   -0.000   -0.000   -0.000   -0.000   -0.000   -0.000   -0.000
 4.00   -0.000   -0.000   -0.000   -0.000   -0.000   -0.000   -0.000   -0.000
