# r     XzpD     XmpD     SppD     SzpD     LND
 0.10 1273.637  765.933 1867.370 1570.504  976.771
 0.20  620.921  338.407  962.081  791.501  450.340
 0.30  304.105  142.567  501.735  402.920  205.290
 0.40  158.001   57.879  275.950  216.975   99.027
 0.50   78.443   14.707  150.782  114.612   42.274
 0.60   35.762   -5.284   78.681   57.222   14.303
 0.70   14.277  -12.771   38.590   26.434    2.120
 0.80    3.789  -14.543   16.770   10.279   -2.701
 0.90   -1.317  -14.024    4.813    1.748   -4.382
 1.00   -3.697  -12.656   -1.602   -2.649   -4.744
 1.10   -4.560  -10.992   -4.686   -4.623   -4.498
 1.20   -4.540   -9.260   -5.789   -5.165   -3.915
 1.30   -4.032   -7.580   -5.830   -4.931   -3.132
 1.40   -3.304   -6.029   -5.394   -4.349   -2.259
 1.50   -2.532   -4.660   -4.802   -3.667   -1.397
 1.60   -1.821   -3.497   -4.207   -3.014   -0.628
 1.70   -1.224   -2.548   -3.664   -2.444   -0.004
 1.80   -0.760   -1.803   -3.187   -1.973    0.454
 1.90   -0.421   -1.239   -2.774   -1.598    0.755
 2.00   -0.192   -0.826   -2.417   -1.304    0.921
 2.10   -0.047   -0.535   -2.109   -1.078    0.983
 2.20    0.034   -0.336   -1.841   -0.903    0.972
 2.30    0.074   -0.204   -1.609   -0.768    0.915
 2.40    0.085   -0.120   -1.408   -0.661    0.832
 2.50    0.081   -0.069   -1.232   -0.576    0.738
 2.60    0.069   -0.039   -1.079   -0.505    0.643
 2.70    0.053   -0.022   -0.946   -0.447    0.552
 2.80    0.037   -0.014   -0.830   -0.396    0.470
 2.90    0.022   -0.011   -0.728   -0.353    0.397
 3.00    0.010   -0.010   -0.639   -0.315    0.334
 3.10   -0.001   -0.010   -0.561   -0.281    0.279
 3.20   -0.009   -0.011   -0.493   -0.251    0.233
 3.30   -0.015   -0.012   -0.433   -0.224    0.194
 3.40   -0.019   -0.013   -0.381   -0.200    0.161
 3.50   -0.022   -0.013   -0.335   -0.179    0.134
 3.60   -0.024   -0.014   -0.294   -0.159    0.111
 3.70   -0.025   -0.014   -0.259   -0.142    0.092
 3.80   -0.025   -0.013   -0.228   -0.127    0.076
 3.90   -0.025   -0.013   -0.201   -0.113    0.063
 4.00   -0.024   -0.012   -0.177   -0.100    0.052
