# r    XmN1S0   XmN3S1   XzN1S0   XzN3S1
 0.10 2903.549 1268.159 1910.574  786.618
 0.20 1194.315  613.102  767.342  374.521
 0.30  605.537  289.275  377.697  166.217
 0.40  349.793  143.782  205.465   73.397
 0.50  207.607   66.733  108.061   25.595
 0.60  143.133   25.192   65.664    1.071
 0.70  113.288    4.334   49.194  -10.072
 0.80   92.380   -5.312   39.805  -14.133
 0.90   73.467   -9.326   31.542  -14.802
 1.00   56.438  -10.532   23.754  -13.941
 1.10   42.021  -10.274   16.881  -12.413
 1.20   30.464   -9.251   11.270  -10.631
 1.30   21.581   -7.878    7.002   -8.818
 1.40   14.973   -6.422    3.958   -7.105
 1.50   10.182   -5.044    1.916   -5.571
 1.60    6.786   -3.833    0.630   -4.255
 1.70    4.428   -2.828   -0.117   -3.170
 1.80    2.824   -2.031   -0.503   -2.307
 1.90    1.757   -1.423   -0.657   -1.643
 2.00    1.065   -0.976   -0.673   -1.147
 2.10    0.628   -0.657   -0.614   -0.786
 2.20    0.359   -0.435   -0.522   -0.531
 2.30    0.199   -0.284   -0.421   -0.353
 2.40    0.107   -0.184   -0.327   -0.233
 2.50    0.055   -0.118   -0.246   -0.152
 2.60    0.027   -0.075   -0.180   -0.098
 2.70    0.013   -0.047   -0.128   -0.063
 2.80    0.006   -0.030   -0.089   -0.040
 2.90    0.002   -0.019   -0.061   -0.026
 3.00    0.001   -0.012   -0.041   -0.016
 3.10    0.000   -0.007   -0.027   -0.010
 3.20   -0.000   -0.005   -0.018   -0.006
 3.30   -0.000   -0.003   -0.011   -0.004
 3.40   -0.000   -0.002   -0.007   -0.003
 3.50   -0.000   -0.001   -0.004   -0.002
 3.60   -0.000   -0.001   -0.003   -0.001
 3.70   -0.000   -0.000   -0.002   -0.001
 3.80   -0.000   -0.000   -0.001   -0.000
 3.90   -0.000   -0.000   -0.001   -0.000
 4.00   -0.000   -0.000   -0.000   -0.000
