#maximum AS FUNCTION OF UPPER LIMIT
#x:total srt [GEV]
#y:maximum for: pf*M**2*Gam/((M**2-mr2)**2+mr2*Gam2)
# hatar  Delta   N1440    N1520    N1535    N1650    N1675    N1680    N1700    N1710    N1720    N2000    N2080    N2190    N2220    N2250    D1600    D1620    D1700    D1900    D1905    D1910    D1920    D1930    D1950
 2.016 0.782E-05 0.668E-06 0.450E-09 0.139E-03 0.108E-03 0.156E-09 0.567E-12 0.623E-10 0.165E-07 0.192E-07 0.158E-12 0.130E-09 0.378E-15 0.597E-18 0.205E-15 0.282E-07 0.470E-04 0.387E-10 0.653E-04 0.110E-15 0.494E-07 0.566E-07 0.855E-10 0.712E-15
 2.017 0.316E-04 0.268E-05 0.362E-08 0.279E-03 0.217E-03 0.125E-08 0.912E-11 0.500E-09 0.661E-07 0.769E-07 0.254E-11 0.105E-08 0.121E-13 0.384E-16 0.658E-14 0.113E-06 0.942E-04 0.311E-09 0.131E-03 0.353E-14 0.198E-06 0.227E-06 0.686E-09 0.229E-13
 2.018 0.718E-04 0.607E-05 0.123E-07 0.419E-03 0.326E-03 0.423E-08 0.464E-10 0.170E-08 0.149E-06 0.173E-06 0.129E-10 0.355E-08 0.927E-13 0.440E-15 0.502E-13 0.255E-06 0.142E-03 0.105E-08 0.196E-03 0.270E-13 0.446E-06 0.512E-06 0.232E-08 0.175E-12
 2.019 0.129E-03 0.108E-04 0.293E-07 0.560E-03 0.436E-03 0.101E-07 0.147E-09 0.404E-08 0.266E-06 0.309E-06 0.410E-10 0.844E-08 0.393E-12 0.249E-14 0.213E-12 0.455E-06 0.189E-03 0.251E-08 0.262E-03 0.114E-12 0.796E-06 0.912E-06 0.553E-08 0.741E-12
 2.020 0.204E-03 0.170E-04 0.575E-07 0.701E-03 0.546E-03 0.198E-07 0.362E-09 0.791E-08 0.417E-06 0.485E-06 0.100E-09 0.165E-07 0.120E-11 0.955E-14 0.652E-12 0.713E-06 0.237E-03 0.492E-08 0.328E-03 0.350E-12 0.125E-05 0.143E-05 0.108E-07 0.227E-11
 2.021 0.297E-03 0.246E-04 0.998E-07 0.843E-03 0.656E-03 0.343E-07 0.754E-09 0.137E-07 0.602E-06 0.700E-06 0.209E-09 0.287E-07 0.301E-11 0.287E-13 0.163E-11 0.103E-05 0.285E-03 0.853E-08 0.394E-03 0.876E-12 0.180E-05 0.206E-05 0.188E-07 0.569E-11
 2.022 0.408E-03 0.336E-04 0.159E-06 0.986E-03 0.767E-03 0.547E-07 0.140E-08 0.219E-07 0.822E-06 0.955E-06 0.389E-09 0.457E-07 0.653E-11 0.727E-13 0.354E-11 0.141E-05 0.332E-03 0.136E-07 0.461E-03 0.190E-11 0.246E-05 0.281E-05 0.299E-07 0.124E-10
 2.023 0.539E-03 0.441E-04 0.239E-06 0.113E-02 0.878E-03 0.820E-07 0.241E-08 0.328E-07 0.108E-05 0.125E-05 0.667E-09 0.684E-07 0.128E-10 0.163E-12 0.694E-11 0.184E-05 0.381E-03 0.204E-07 0.527E-03 0.373E-11 0.322E-05 0.368E-05 0.448E-07 0.242E-10
 2.024 0.689E-03 0.561E-04 0.342E-06 0.127E-02 0.989E-03 0.117E-06 0.388E-08 0.469E-07 0.137E-05 0.159E-05 0.107E-08 0.978E-07 0.232E-10 0.332E-12 0.126E-10 0.234E-05 0.429E-03 0.291E-07 0.594E-03 0.676E-11 0.408E-05 0.467E-05 0.640E-07 0.438E-10
 2.025 0.860E-03 0.695E-04 0.472E-06 0.142E-02 0.110E-02 0.161E-06 0.594E-08 0.645E-07 0.169E-05 0.197E-05 0.164E-08 0.135E-06 0.394E-10 0.628E-12 0.214E-10 0.289E-05 0.477E-03 0.401E-07 0.660E-03 0.115E-10 0.505E-05 0.578E-05 0.881E-07 0.746E-10
