#--------------------------------------------------
#proton + antiproton -> pion0 + Psi(3686) 
#--------------------------------------------------
#     E [GeV/c2]     Sigma [mb]
6180
  3.8210000e+000  0.0000000e+000
  3.8220000e+000  5.7707887e-007
  3.8230000e+000  8.2049164e-007
  3.8240000e+000  1.0102279e-006
  3.8250000e+000  1.1726387e-006
  3.8260000e+000  1.3178650e-006
  3.8270000e+000  1.4510750e-006
  3.8280000e+000  1.5753187e-006
  3.8290000e+000  1.6925706e-006
  3.8300000e+000  1.8041927e-006
  3.8310000e+000  1.9111701e-006
  3.8320000e+000  2.0142411e-006
  3.8330000e+000  2.1139752e-006
  3.8340000e+000  2.2108218e-006
  3.8350000e+000  2.3051427e-006
  3.8360000e+000  2.3972338e-006
  3.8370000e+000  2.4873401e-006
  3.8380000e+000  2.5756674e-006
  3.8390000e+000  2.6623903e-006
  3.8400000e+000  2.7476578e-006
  3.8410000e+000  2.8315988e-006
  3.8420000e+000  2.9143248e-006
  3.8430000e+000  2.9959337e-006
  3.8440000e+000  3.0765114e-006
  3.8450000e+000  3.1561338e-006
  3.8460000e+000  3.2348684e-006
  3.8470000e+000  3.3127754e-006
  3.8480000e+000  3.3899085e-006
  3.8490000e+000  3.4663164e-006
  3.8500000e+000  3.5420425e-006
  3.8510000e+000  3.6171266e-006
  3.8520000e+000  3.6916044e-006
  3.8530000e+000  3.7655085e-006
  3.8540000e+000  3.8388687e-006
  3.8550000e+000  3.9117122e-006
  3.8560000e+000  3.9840639e-006
  3.8570000e+000  4.0559467e-006
  3.8580000e+000  4.1273816e-006
  3.8590000e+000  4.1983880e-006
  3.8600000e+000  4.2689837e-006
  3.8610000e+000  4.3391853e-006
  3.8620000e+000  4.4090081e-006
  3.8630000e+000  4.4784662e-006
  3.8640000e+000  4.5475729e-006
  3.8650000e+000  4.6163402e-006
  3.8660000e+000  4.6847797e-006
  3.8670000e+000  4.7529018e-006
  3.8680000e+000  4.8207165e-006
  3.8690000e+000  4.8882329e-006
  3.8700000e+000  4.9554598e-006
  3.8710000e+000  5.0224050e-006
  3.8720000e+000  5.0890761e-006
  3.8730000e+000  5.1554802e-006
  3.8740000e+000  5.2216239e-006
  3.8750000e+000  5.2875133e-006
  3.8760000e+000  5.3531543e-006
  3.8770000e+000  5.4185522e-006
  3.8780000e+000  5.4837122e-006
  3.8790000e+000  5.5486392e-006
  3.8800000e+000  5.6133375e-006
  3.8810000e+000  5.6778115e-006
  3.8820000e+000  5.7420651e-006
  3.8830000e+000  5.8061022e-006
  3.8840000e+000  5.8699262e-006
  3.8850000e+000  5.9335405e-006
  3.8860000e+000  5.9969483e-006
  3.8870000e+000  6.0601524e-006
  3.8880000e+000  6.1231557e-006
  3.8890000e+000  6.1859609e-006
  3.8900000e+000  6.2485703e-006
  3.8910000e+000  6.3109864e-006
  3.8920000e+000  6.3732113e-006
  3.8930000e+000  6.4352472e-006
  3.8940000e+000  6.4970959e-006
  3.8950000e+000  6.5587594e-006
  3.8960000e+000  6.6202395e-006
  3.8970000e+000  6.6815377e-006
  3.8980000e+000  6.7426556e-006
  3.8990000e+000  6.8035947e-006
  3.9000000e+000  6.8643565e-006
  3.9010000e+000  6.9249421e-006
  3.9020000e+000  6.9853529e-006
  3.9030000e+000  7.0455900e-006
  3.9040000e+000  7.1056545e-006
  3.9050000e+000  7.1655475e-006
  3.9060000e+000  7.2252699e-006
  3.9070000e+000  7.2848227e-006
  3.9080000e+000  7.3442068e-006
  3.9090000e+000  7.4034229e-006
  3.9100000e+000  7.4624719e-006
  3.9110000e+000  7.5213544e-006
  3.9120000e+000  7.5800712e-006
  3.9130000e+000  7.6386230e-006
  3.9140000e+000  7.6970102e-006
  3.9150000e+000  7.7552336e-006
  3.9160000e+000  7.8132936e-006
  3.9170000e+000  7.8711908e-006
  3.9180000e+000  7.9289256e-006
  3.9190000e+000  7.9864985e-006
  3.9200000e+000  8.0439100e-006
  3.9210000e+000  8.1011603e-006
  3.9220000e+000  8.1582499e-006
  3.9230000e+000  8.2151791e-006
  3.9240000e+000  8.2719483e-006
  3.9250000e+000  8.3285577e-006
  3.9260000e+000  8.3850077e-006
  3.9270000e+000  8.4412985e-006
  3.9280000e+000  8.4974304e-006
  3.9290000e+000  8.5534036e-006
  3.9300000e+000  8.6092182e-006
  3.9310000e+000  8.6648746e-006
  3.9320000e+000  8.7203729e-006
  3.9330000e+000  8.7757133e-006
  3.9340000e+000  8.8308959e-006
  3.9350000e+000  8.8859209e-006
  3.9360000e+000  8.9407885e-006
  3.9370000e+000  8.9954987e-006
  3.9380000e+000  9.0500517e-006
  3.9390000e+000  9.1044476e-006
  3.9400000e+000  9.1586864e-006
  3.9410000e+000  9.2127684e-006
  3.9420000e+000  9.2666935e-006
  3.9430000e+000  9.3204619e-006
  3.9440000e+000  9.3740736e-006
  3.9450000e+000  9.4275287e-006
  3.9460000e+000  9.4808272e-006
  3.9470000e+000  9.5339692e-006
  3.9480000e+000  9.5869548e-006
  3.9490000e+000  9.6397840e-006
  3.9500000e+000  9.6924568e-006
  3.9510000e+000  9.7449732e-006
  3.9520000e+000  9.7973334e-006
  3.9530000e+000  9.8495373e-006
  3.9540000e+000  9.9015850e-006
  3.9550000e+000  9.9534764e-006
  3.9560000e+000  1.0005212e-005
  3.9570000e+000  1.0056791e-005
  3.9580000e+000  1.0108214e-005
  3.9590000e+000  1.0159480e-005
  3.9600000e+000  1.0210591e-005
  3.9610000e+000  1.0261545e-005
  3.9620000e+000  1.0312344e-005
  3.9630000e+000  1.0362986e-005
  3.9640000e+000  1.0413472e-005
  3.9650000e+000  1.0463802e-005
  3.9660000e+000  1.0513976e-005
  3.9670000e+000  1.0563994e-005
  3.9680000e+000  1.0613855e-005
  3.9690000e+000  1.0663561e-005
  3.9700000e+000  1.0713111e-005
  3.9710000e+000  1.0762504e-005
  3.9720000e+000  1.0811742e-005
  3.9730000e+000  1.0860823e-005
  3.9740000e+000  1.0909749e-005
  3.9750000e+000  1.0958518e-005
  3.9760000e+000  1.1007131e-005
  3.9770000e+000  1.1055589e-005
  3.9780000e+000  1.1103890e-005
