#--------------------------------------------------
#proton + antiproton -> rho0 + Psi(3770) 
#--------------------------------------------------
#     E [GeV/c2]     Sigma [mb]
5461
  4.5400000e+000  2.8050564e-012
  4.5410000e+000  2.6981523e-006
  4.5420000e+000  3.8112919e-006
  4.5430000e+000  4.6623874e-006
  4.5440000e+000  5.3773463e-006
  4.5450000e+000  6.0050006e-006
  4.5460000e+000  6.5704254e-006
  4.5470000e+000  7.0885346e-006
  4.5480000e+000  7.5690572e-006
  4.5490000e+000  8.0187591e-006
  4.5500000e+000  8.4425725e-006
  4.5510000e+000  8.8442254e-006
  4.5520000e+000  9.2266175e-006
  4.5530000e+000  9.5920576e-006
  4.5540000e+000  9.9424200e-006
  4.5550000e+000  1.0279251e-005
  4.5560000e+000  1.0603845e-005
  4.5570000e+000  1.0917298e-005
  4.5580000e+000  1.1220548e-005
  4.5590000e+000  1.1514404e-005
  4.5600000e+000  1.1799574e-005
  4.5610000e+000  1.2076677e-005
  4.5620000e+000  1.2346258e-005
  4.5630000e+000  1.2608806e-005
  4.5640000e+000  1.2864753e-005
  4.5650000e+000  1.3114491e-005
  4.5660000e+000  1.3358370e-005
  4.5670000e+000  1.3596711e-005
  4.5680000e+000  1.3829802e-005
  4.5690000e+000  1.4057908e-005
  4.5700000e+000  1.4281271e-005
  4.5710000e+000  1.4500114e-005
  4.5720000e+000  1.4714642e-005
  4.5730000e+000  1.4925044e-005
  4.5740000e+000  1.5131495e-005
  4.5750000e+000  1.5334158e-005
  4.5760000e+000  1.5533184e-005
  4.5770000e+000  1.5728715e-005
  4.5780000e+000  1.5920881e-005
  4.5790000e+000  1.6109807e-005
  4.5800000e+000  1.6295608e-005
  4.5810000e+000  1.6478393e-005
  4.5820000e+000  1.6658263e-005
  4.5830000e+000  1.6835316e-005
  4.5840000e+000  1.7009641e-005
  4.5850000e+000  1.7181324e-005
  4.5860000e+000  1.7350448e-005
  4.5870000e+000  1.7517087e-005
  4.5880000e+000  1.7681316e-005
  4.5890000e+000  1.7843204e-005
  4.5900000e+000  1.8002816e-005
  4.5910000e+000  1.8160215e-005
  4.5920000e+000  1.8315460e-005
  4.5930000e+000  1.8468609e-005
  4.5940000e+000  1.8619715e-005
  4.5950000e+000  1.8768831e-005
  4.5960000e+000  1.8916006e-005
  4.5970000e+000  1.9061287e-005
  4.5980000e+000  1.9204720e-005
  4.5990000e+000  1.9346348e-005
  4.6000000e+000  1.9486213e-005
  4.6010000e+000  1.9624355e-005
  4.6020000e+000  1.9760813e-005
  4.6030000e+000  1.9895624e-005
  4.6040000e+000  2.0028822e-005
  4.6050000e+000  2.0160443e-005
  4.6060000e+000  2.0290519e-005
  4.6070000e+000  2.0419083e-005
  4.6080000e+000  2.0546164e-005
  4.6090000e+000  2.0671792e-005
  4.6100000e+000  2.0795996e-005
  4.6110000e+000  2.0918804e-005
  4.6120000e+000  2.1040242e-005
  4.6130000e+000  2.1160335e-005
  4.6140000e+000  2.1279109e-005
  4.6150000e+000  2.1396588e-005
  4.6160000e+000  2.1512795e-005
  4.6170000e+000  2.1627753e-005
  4.6180000e+000  2.1741483e-005
  4.6190000e+000  2.1854008e-005
  4.6200000e+000  2.1965346e-005
  4.6210000e+000  2.2075519e-005
  4.6220000e+000  2.2184546e-005
  4.6230000e+000  2.2292446e-005
  4.6240000e+000  2.2399236e-005
  4.6250000e+000  2.2504936e-005
  4.6260000e+000  2.2609561e-005
  4.6270000e+000  2.2713129e-005
  4.6280000e+000  2.2815656e-005
  4.6290000e+000  2.2917159e-005
  4.6300000e+000  2.3017652e-005
  4.6310000e+000  2.3117151e-005
  4.6320000e+000  2.3215670e-005
  4.6330000e+000  2.3313224e-005
  4.6340000e+000  2.3409826e-005
  4.6350000e+000  2.3505491e-005
  4.6360000e+000  2.3600232e-005
  4.6370000e+000  2.3694060e-005
  4.6380000e+000  2.3786990e-005
  4.6390000e+000  2.3879034e-005
  4.6400000e+000  2.3970203e-005
  4.6410000e+000  2.4060509e-005
  4.6420000e+000  2.4149964e-005
  4.6430000e+000  2.4238579e-005
  4.6440000e+000  2.4326365e-005
  4.6450000e+000  2.4413332e-005
  4.6460000e+000  2.4499492e-005
  4.6470000e+000  2.4584853e-005
  4.6480000e+000  2.4669428e-005
  4.6490000e+000  2.4753224e-005
  4.6500000e+000  2.4836253e-005
  4.6510000e+000  2.4918522e-005
  4.6520000e+000  2.5000042e-005
  4.6530000e+000  2.5080822e-005
  4.6540000e+000  2.5160870e-005
  4.6550000e+000  2.5240194e-005
  4.6560000e+000  2.5318804e-005
  4.6570000e+000  2.5396708e-005
  4.6580000e+000  2.5473914e-005
  4.6590000e+000  2.5550429e-005
  4.6600000e+000  2.5626262e-005
  4.6610000e+000  2.5701420e-005
  4.6620000e+000  2.5775911e-005
  4.6630000e+000  2.5849743e-005
  4.6640000e+000  2.5922922e-005
  4.6650000e+000  2.5995455e-005
  4.6660000e+000  2.6067350e-005
  4.6670000e+000  2.6138614e-005
  4.6680000e+000  2.6209253e-005
  4.6690000e+000  2.6279273e-005
  4.6700000e+000  2.6348682e-005
  4.6710000e+000  2.6417485e-005
  4.6720000e+000  2.6485690e-005
  4.6730000e+000  2.6553301e-005
  4.6740000e+000  2.6620326e-005
  4.6750000e+000  2.6686770e-005
  4.6760000e+000  2.6752638e-005
  4.6770000e+000  2.6817938e-005
  4.6780000e+000  2.6882673e-005
  4.6790000e+000  2.6946851e-005
  4.6800000e+000  2.7010476e-005
  4.6810000e+000  2.7073554e-005
  4.6820000e+000  2.7136090e-005
  4.6830000e+000  2.7198089e-005
  4.6840000e+000  2.7259557e-005
  4.6850000e+000  2.7320498e-005
  4.6860000e+000  2.7380918e-005
  4.6870000e+000  2.7440821e-005
  4.6880000e+000  2.7500212e-005
  4.6890000e+000  2.7559096e-005
  4.6900000e+000  2.7617478e-005
  4.6910000e+000  2.7675361e-005
  4.6920000e+000  2.7732752e-005
  4.6930000e+000  2.7789654e-005
  4.6940000e+000  2.7846071e-005
  4.6950000e+000  2.7902008e-005
  4.6960000e+000  2.7957470e-005
  4.6970000e+000  2.8012459e-005
  4.6980000e+000  2.8066982e-005
  4.6990000e+000  2.8121041e-005
  4.7000000e+000  2.8174640e-005
  4.7010000e+000  2.8227785e-005
  4.7020000e+000  2.8280478e-005
  4.7030000e+000  2.8332723e-005
  4.7040000e+000  2.8384525e-005
  4.7050000e+000  2.8435887e-005
  4.7060000e+000  2.8486812e-005
  4.7070000e+000  2.8537305e-005
  4.7080000e+000  2.8587369e-005
  4.7090000e+000  2.8637008e-005
  4.7100000e+000  2.8686224e-005
  4.7110000e+000  2.8735023e-005
  4.7120000e+000  2.8783406e-005
  4.7130000e+000  2.8831378e-005
  4.7140000e+000  2.8878941e-005
  4.7150000e+000  2.8926099e-005
  4.7160000e+000  2.8972856e-005
  4.7170000e+000  2.9019215e-005
  4.7180000e+000  2.9065178e-005
  4.7190000e+000  2.9110748e-005
  4.7200000e+000  2.9155930e-005
  4.7210000e+000  2.9200726e-005
  4.7220000e+000  2.9245139e-005
  4.7230000e+000  2.9289171e-005
  4.7240000e+000  2.9332827e-005
  4.7250000e+000  2.9376108e-005
  4.7260000e+000  2.9419019e-005
  4.7270000e+000  2.9461560e-005
  4.7280000e+000  2.9503736e-005
  4.7290000e+000  2.9545550e-005
  4.7300000e+000  2.9587003e-005
  4.7310000e+000  2.9628099e-005
  4.7320000e+000  2.9668840e-005
  4.7330000e+000  2.9709229e-005
  4.7340000e+000  2.9749269e-005
  4.7350000e+000  2.9788962e-005
  4.7360000e+000  2.9828310e-005
  4.7370000e+000  2.9867317e-005
  4.7380000e+000  2.9905985e-005
  4.7390000e+000  2.9944315e-005
  4.7400000e+000  2.9982312e-005
  4.7410000e+000  3.0019977e-005
  4.7420000e+000  3.0057312e-005
  4.7430000e+000  3.0094320e-005
  4.7440000e+000  3.0131003e-005
  4.7450000e+000  3.0167364e-005
  4.7460000e+000  3.0203405e-005
  4.7470000e+000  3.0239128e-005
  4.7480000e+000  3.0274535e-005
  4.7490000e+000  3.0309629e-005
  4.7500000e+000  3.0344411e-005
  4.7510000e+000  3.0378885e-005
  4.7520000e+000  3.0413052e-005
  4.7530000e+000  3.0446914e-005
  4.7540000e+000  3.0480473e-005
  4.7550000e+000  3.0513732e-005
  4.7560000e+000  3.0546692e-005
  4.7570000e+000  3.0579356e-005
  4.7580000e+000  3.0611726e-005
  4.7590000e+000  3.0643803e-005
  4.7600000e+000  3.0675590e-005
  4.7610000e+000  3.0707089e-005
  4.7620000e+000  3.0738301e-005
  4.7630000e+000  3.0769228e-005
  4.7640000e+000  3.0799873e-005
  4.7650000e+000  3.0830237e-005
  4.7660000e+000  3.0860322e-005
  4.7670000e+000  3.0890131e-005
  4.7680000e+000  3.0919664e-005
  4.7690000e+000  3.0948923e-005
  4.7700000e+000  3.0977912e-005
  4.7710000e+000  3.1006630e-005
  4.7720000e+000  3.1035081e-005
  4.7730000e+000  3.1063265e-005
  4.7740000e+000  3.1091185e-005
  4.7750000e+000  3.1118842e-005
  4.7760000e+000  3.1146238e-005
  4.7770000e+000  3.1173374e-005
  4.7780000e+000  3.1200253e-005
  4.7790000e+000  3.1226876e-005
  4.7800000e+000  3.1253245e-005
  4.7810000e+000  3.1279361e-005
  4.7820000e+000  3.1305225e-005
  4.7830000e+000  3.1330840e-005
  4.7840000e+000  3.1356208e-005
  4.7850000e+000  3.1381328e-005
  4.7860000e+000  3.1406204e-005
  4.7870000e+000  3.1430837e-005
  4.7880000e+000  3.1455228e-005
  4.7890000e+000  3.1479379e-005
  4.7900000e+000  3.1503291e-005
  4.7910000e+000  3.1526966e-005
  4.7920000e+000  3.1550405e-005
  4.7930000e+000  3.1573610e-005
  4.7940000e+000  3.1596582e-005
  4.7950000e+000  3.1619323e-005
  4.7960000e+000  3.1641833e-005
  4.7970000e+000  3.1664116e-005
