#--------------------------------------------------
#proton + antiproton -> proton + antiproton + J/Psi (incl. chi1 -> J/Psi+gamma, chi2 -> J/Psi+gamma,  Psi  -> J/Psi+gamma  decays)
#--------------------------------------------------
# E [GeV/c2]      sigma [mb]
5001
  5.0000000e+000  9.6675712e-011
  5.0010000e+000  1.0239221e-010
  5.0020000e+000  1.0826353e-010
  5.0030000e+000  1.1428892e-010
  5.0040000e+000  1.2046762e-010
  5.0050000e+000  1.2679886e-010
  5.0060000e+000  1.3328191e-010
  5.0070000e+000  1.3991601e-010
  5.0080000e+000  1.4670040e-010
  5.0090000e+000  1.5363436e-010
  5.0100000e+000  1.6071713e-010
  5.0110000e+000  1.6794797e-010
  5.0120000e+000  1.7532615e-010
  5.0130000e+000  1.8285094e-010
  5.0140000e+000  1.9052159e-010
  5.0150000e+000  1.9833738e-010
  5.0160000e+000  2.0629758e-010
  5.0170000e+000  2.1440146e-010
  5.0180000e+000  2.2264831e-010
  5.0190000e+000  2.3103740e-010
  5.0200000e+000  2.3956801e-010
  5.0210000e+000  2.4823943e-010
  5.0220000e+000  2.5705095e-010
  5.0230000e+000  2.6600185e-010
  5.0240000e+000  2.7509142e-010
  5.0250000e+000  2.8431896e-010
  5.0260000e+000  2.9368377e-010
  5.0270000e+000  3.0318514e-010
  5.0280000e+000  3.1282237e-010
  5.0290000e+000  3.2259477e-010
  5.0300000e+000  3.3250165e-010
  5.0310000e+000  3.4254230e-010
  5.0320000e+000  3.5271605e-010
  5.0330000e+000  3.6302220e-010
  5.0340000e+000  3.7346007e-010
  5.0350000e+000  3.8402897e-010
  5.0360000e+000  3.9472823e-010
  5.0370000e+000  4.0555717e-010
  5.0380000e+000  4.1651511e-010
  5.0390000e+000  4.2760138e-010
  5.0400000e+000  4.3881530e-010
  5.0410000e+000  4.5015621e-010
  5.0420000e+000  4.6162344e-010
  5.0430000e+000  4.7321632e-010
  5.0440000e+000  4.8493420e-010
  5.0450000e+000  4.9677641e-010
  5.0460000e+000  5.0874230e-010
  5.0470000e+000  5.2083120e-010
  5.0480000e+000  5.3304247e-010
  5.0490000e+000  5.4537546e-010
  5.0500000e+000  5.5782952e-010
  5.0510000e+000  5.7040399e-010
  5.0520000e+000  5.8309824e-010
  5.0530000e+000  5.9591162e-010
  5.0540000e+000  6.0884349e-010
  5.0550000e+000  6.2189322e-010
  5.0560000e+000  6.3506017e-010
  5.0570000e+000  6.4834370e-010
  5.0580000e+000  6.6174318e-010
  5.0590000e+000  6.7525799e-010
  5.0600000e+000  6.8888750e-010
  5.0610000e+000  7.0263107e-010
  5.0620000e+000  7.1648810e-010
  5.0630000e+000  7.3045795e-010
  5.0640000e+000  7.4454002e-010
  5.0650000e+000  7.5873368e-010
  5.0660000e+000  7.7303831e-010
  5.0670000e+000  7.8745331e-010
  5.0680000e+000  8.0197807e-010
  5.0690000e+000  8.1661198e-010
  5.0700000e+000  8.3135442e-010
  5.0710000e+000  8.4620481e-010
  5.0720000e+000  8.6116253e-010
  5.0730000e+000  8.7622699e-010
  5.0740000e+000  8.9139758e-010
  5.0750000e+000  9.0667372e-010
  5.0760000e+000  9.2205481e-010
  5.0770000e+000  9.3754026e-010
  5.0780000e+000  9.5312947e-010
  5.0790000e+000  9.6882186e-010
  5.0800000e+000  9.8461685e-010
  5.0810000e+000  1.0005139e-009
  5.0820000e+000  1.0165123e-009
  5.0830000e+000  1.0326116e-009
  5.0840000e+000  1.0488111e-009
  5.0850000e+000  1.0651104e-009
  5.0860000e+000  1.0815087e-009
  5.0870000e+000  1.0980057e-009
  5.0880000e+000  1.1146006e-009
  5.0890000e+000  1.1312929e-009
  5.0900000e+000  1.1480821e-009
  5.0910000e+000  1.1649676e-009
  5.0920000e+000  1.1819488e-009
  5.0930000e+000  1.1990251e-009
  5.0940000e+000  1.2161961e-009
  5.0950000e+000  1.2334611e-009
  5.0960000e+000  1.2508196e-009
  5.0970000e+000  1.2682711e-009
  5.0980000e+000  1.2858149e-009
  5.0990000e+000  1.3034506e-009
  5.1000000e+000  1.3211776e-009
  5.1010000e+000  1.3389954e-009
  5.1020000e+000  1.3569034e-009
  5.1030000e+000  1.3749010e-009
  5.1040000e+000  1.3929878e-009
  5.1050000e+000  1.4111632e-009
  5.1060000e+000  1.4294267e-009
  5.1070000e+000  1.4477777e-009
  5.1080000e+000  1.4662156e-009
  5.1090000e+000  1.4847401e-009
  5.1100000e+000  1.5033505e-009
  5.1110000e+000  1.5220463e-009
  5.1120000e+000  1.5408271e-009
  5.1130000e+000  1.5596922e-009
  5.1140000e+000  1.5786411e-009
  5.1150000e+000  1.5976734e-009
  5.1160000e+000  1.6167885e-009
  5.1170000e+000  1.6359859e-009
  5.1180000e+000  1.6552651e-009
  5.1190000e+000  1.6746256e-009
  5.1200000e+000  1.6940668e-009
  5.1210000e+000  1.7135883e-009
  5.1220000e+000  1.7331896e-009
  5.1230000e+000  1.7528702e-009
  5.1240000e+000  1.7726294e-009
  5.1250000e+000  1.7924670e-009
  5.1260000e+000  1.8123823e-009
  5.1270000e+000  1.8323748e-009
  5.1280000e+000  1.8524442e-009
  5.1290000e+000  1.8725898e-009
  5.1300000e+000  1.8928111e-009
  5.1310000e+000  1.9131078e-009
  5.1320000e+000  1.9334793e-009
  5.1330000e+000  1.9539250e-009
  5.1340000e+000  1.9744446e-009
  5.1350000e+000  1.9950376e-009
  5.1360000e+000  2.0157034e-009
  5.1370000e+000  2.0364417e-009
  5.1380000e+000  2.0572518e-009
  5.1390000e+000  2.0781334e-009
  5.1400000e+000  2.0990859e-009
  5.1410000e+000  2.1201089e-009
  5.1420000e+000  2.1412019e-009
  5.1430000e+000  2.1623645e-009
  5.1440000e+000  2.1835962e-009
  5.1450000e+000  2.2048965e-009
  5.1460000e+000  2.2262649e-009
  5.1470000e+000  2.2477011e-009
  5.1480000e+000  2.2692044e-009
  5.1490000e+000  2.2907746e-009
  5.1500000e+000  2.3124110e-009
  5.1510000e+000  2.3341133e-009
  5.1520000e+000  2.3558810e-009
  5.1530000e+000  2.3777137e-009
  5.1540000e+000  2.3996109e-009
  5.1550000e+000  2.4215721e-009
  5.1560000e+000  2.4435969e-009
  5.1570000e+000  2.4656849e-009
  5.1580000e+000  2.4878356e-009
  5.1590000e+000  2.5100485e-009
  5.1600000e+000  2.5323233e-009
  5.1610000e+000  2.5546595e-009
  5.1620000e+000  2.5770567e-009
  5.1630000e+000  2.5995143e-009
  5.1640000e+000  2.6220320e-009
  5.1650000e+000  2.6446094e-009
  5.1660000e+000  2.6672460e-009
  5.1670000e+000  2.6899414e-009
  5.1680000e+000  2.7126952e-009
  5.1690000e+000  2.7355068e-009
  5.1700000e+000  2.7583760e-009
  5.1710000e+000  2.7813023e-009
  5.1720000e+000  2.8042852e-009
  5.1730000e+000  2.8273244e-009
  5.1740000e+000  2.8504194e-009
  5.1750000e+000  2.8735698e-009
  5.1760000e+000  2.8967752e-009
  5.1770000e+000  2.9200351e-009
  5.1780000e+000  2.9433492e-009
  5.1790000e+000  2.9667171e-009
  5.1800000e+000  2.9901383e-009
  5.1810000e+000  3.0136124e-009
  5.1820000e+000  3.0371390e-009
  5.1830000e+000  3.0607178e-009
  5.1840000e+000  3.0843483e-009
  5.1850000e+000  3.1080301e-009
  5.1860000e+000  3.1317628e-009
  5.1870000e+000  3.1555460e-009
  5.1880000e+000  3.1793793e-009
  5.1890000e+000  3.2032623e-009
  5.1900000e+000  3.2271947e-009
  5.1910000e+000  3.2511759e-009
  5.1920000e+000  3.2752058e-009
  5.1930000e+000  3.2992837e-009
  5.1940000e+000  3.3234094e-009
  5.1950000e+000  3.3475825e-009
  5.1960000e+000  3.3718025e-009
  5.1970000e+000  3.3960692e-009
  5.1980000e+000  3.4203820e-009
  5.1990000e+000  3.4447407e-009
  5.2000000e+000  3.4691448e-009
  5.2010000e+000  3.4935940e-009
  5.2020000e+000  3.5180879e-009
  5.2030000e+000  3.5426261e-009
  5.2040000e+000  3.5672083e-009
  5.2050000e+000  3.5918340e-009
  5.2060000e+000  3.6165029e-009
  5.2070000e+000  3.6412146e-009
  5.2080000e+000  3.6659687e-009
  5.2090000e+000  3.6907650e-009
  5.2100000e+000  3.7156029e-009
  5.2110000e+000  3.7404823e-009
  5.2120000e+000  3.7654026e-009
  5.2130000e+000  3.7903635e-009
  5.2140000e+000  3.8153647e-009
  5.2150000e+000  3.8404058e-009
  5.2160000e+000  3.8654864e-009
  5.2170000e+000  3.8906063e-009
  5.2180000e+000  3.9157649e-009
  5.2190000e+000  3.9409621e-009
  5.2200000e+000  3.9661973e-009
  5.2210000e+000  3.9914704e-009
  5.2220000e+000  4.0167808e-009
  5.2230000e+000  4.0421283e-009
  5.2240000e+000  4.0675126e-009
  5.2250000e+000  4.0929332e-009
  5.2260000e+000  4.1183899e-009
  5.2270000e+000  4.1438822e-009
  5.2280000e+000  4.1694099e-009
  5.2290000e+000  4.1949726e-009
  5.2300000e+000  4.2205700e-009
  5.2310000e+000  4.2462016e-009
  5.2320000e+000  4.2718673e-009
  5.2330000e+000  4.2975666e-009
  5.2340000e+000  4.3232993e-009
  5.2350000e+000  4.3490649e-009
  5.2360000e+000  4.3748632e-009
  5.2370000e+000  4.4006938e-009
  5.2380000e+000  4.4265564e-009
  5.2390000e+000  4.4524506e-009
  5.2400000e+000  4.4783762e-009
  5.2410000e+000  4.5043328e-009
  5.2420000e+000  4.5303201e-009
  5.2430000e+000  4.5563377e-009
  5.2440000e+000  4.5823853e-009
  5.2450000e+000  4.6084627e-009
  5.2460000e+000  4.6345695e-009
  5.2470000e+000  4.6607054e-009
  5.2480000e+000  4.6868700e-009
  5.2490000e+000  4.7130630e-009
  5.2500000e+000  4.7392842e-009
  5.2510000e+000  4.7655332e-009
  5.2520000e+000  4.7918097e-009
  5.2530000e+000  4.8181134e-009
  5.2540000e+000  4.8444440e-009
  5.2550000e+000  4.8708012e-009
  5.2560000e+000  4.8971846e-009
  5.2570000e+000  4.9235940e-009
  5.2580000e+000  4.9500290e-009
  5.2590000e+000  4.9764894e-009
  5.2600000e+000  5.0029748e-009
  5.2610000e+000  5.0294850e-009
  5.2620000e+000  5.0560196e-009
  5.2630000e+000  5.0825784e-009
  5.2640000e+000  5.1091610e-009
  5.2650000e+000  5.1357671e-009
  5.2660000e+000  5.1623965e-009
  5.2670000e+000  5.1890489e-009
  5.2680000e+000  5.2157239e-009
  5.2690000e+000  5.2424213e-009
  5.2700000e+000  5.2691408e-009
  5.2710000e+000  5.2958821e-009
  5.2720000e+000  5.3226449e-009
  5.2730000e+000  5.3494288e-009
  5.2740000e+000  5.3762338e-009
  5.2750000e+000  5.4030593e-009
  5.2760000e+000  5.4299052e-009
  5.2770000e+000  5.4567712e-009
  5.2780000e+000  5.4836570e-009
  5.2790000e+000  5.5105623e-009
  5.2800000e+000  5.5374868e-009
  5.2810000e+000  5.5644303e-009
  5.2820000e+000  5.5913925e-009
  5.2830000e+000  5.6183730e-009
  5.2840000e+000  5.6453717e-009
  5.2850000e+000  5.6723882e-009
  5.2860000e+000  5.6994223e-009
  5.2870000e+000  5.7264737e-009
  5.2880000e+000  5.7535421e-009
  5.2890000e+000  5.7806273e-009
  5.2900000e+000  5.8077290e-009
  5.2910000e+000  5.8348469e-009
  5.2920000e+000  5.8619807e-009
  5.2930000e+000  5.8891303e-009
  5.2940000e+000  5.9162952e-009
  5.2950000e+000  5.9434754e-009
  5.2960000e+000  5.9706704e-009
  5.2970000e+000  5.9978801e-009
  5.2980000e+000  6.0251041e-009
  5.2990000e+000  6.0523423e-009
  5.3000000e+000  6.0795943e-009
  5.3010000e+000  6.1068599e-009
  5.3020000e+000  6.1341389e-009
  5.3030000e+000  6.1614310e-009
  5.3040000e+000  6.1887359e-009
  5.3050000e+000  6.2160534e-009
  5.3060000e+000  6.2433832e-009
  5.3070000e+000  6.2707251e-009
  5.3080000e+000  6.2980788e-009
  5.3090000e+000  6.3254441e-009
  5.3100000e+000  6.3528207e-009
  5.3110000e+000  6.3802084e-009
  5.3120000e+000  6.4076070e-009
  5.3130000e+000  6.4350161e-009
  5.3140000e+000  6.4624356e-009
  5.3150000e+000  6.4898653e-009
  5.3160000e+000  6.5173047e-009
  5.3170000e+000  6.5447538e-009
  5.3180000e+000  6.5722123e-009
  5.3190000e+000  6.5996799e-009
  5.3200000e+000  6.6271564e-009
  5.3210000e+000  6.6546416e-009
  5.3220000e+000  6.6821353e-009
  5.3230000e+000  6.7096371e-009
  5.3240000e+000  6.7371469e-009
  5.3250000e+000  6.7646644e-009
  5.3260000e+000  6.7921894e-009
  5.3270000e+000  6.8197217e-009
  5.3280000e+000  6.8472610e-009
  5.3290000e+000  6.8748071e-009
  5.3300000e+000  6.9023598e-009
  5.3310000e+000  6.9299188e-009
  5.3320000e+000  6.9574840e-009
