 # (omega,eta,kaon) + n(L) -> elastic amplitude
 # cm energy window: srtmin=1.400 GeV; srtmax=1.900 GeV; momentum cutoff=500.000 GeV/c)
 # min energy for S wave pi N scatt.  1.2
 # Delta pi with Delta width is included
 # with delta formfactor
 # Lambda-K^o included in the fit
 # Sigma+ K^+ included in the fit
 # in d33 1 delta chan.
 # uniform scaling energy dependence
 # Constraint in the S31 rhoN -1
 # Constraint in the K crosssec
 # No Suppress of couplings > 100
 # omega m-dep. width included
 # min. exp. errorbar for amplitude set to  0.1
 # min.phasesh.abs.errorbar set to  1.
 # errorbars in s31phase multiplied with  0.5
 # max energy for omega prod.  1.798
 # min energy for omega prod.  1.73
 # max energy for rho prod.  1.8
 # max energy for Lambda K prod.  1.68
 # max energy for Sigma K prod.  1.9

# x: srt [GeV]
# y: amplitude [?]

#  7th best fit with chisq=    946.03
# elastic:                omega+n                       eta+n              K^0+Lambda   
#  srt     Re(T11)   Im(T11)   Re(T13)   Im(T13)   Re(T11)   Im(T11)   Re(T11)   Im(T11)
  1.079  0.411E+02  0.581E+00  0.516E+02  0.246E-06  0.335E+01  0.440E+00  0.487E+02  0.430E+00
  1.080  0.411E+02  0.822E+00  0.517E+02  0.141E-05  0.331E+01  0.622E+00  0.487E+02  0.608E+00
  1.081  0.412E+02  0.101E+01  0.519E+02  0.392E-05  0.328E+01  0.761E+00  0.487E+02  0.743E+00
  1.082  0.413E+02  0.116E+01  0.520E+02  0.813E-05  0.325E+01  0.877E+00  0.487E+02  0.857E+00
  1.083  0.413E+02  0.130E+01  0.522E+02  0.144E-04  0.322E+01  0.980E+00  0.488E+02  0.956E+00
  1.084  0.414E+02  0.143E+01  0.523E+02  0.229E-04  0.319E+01  0.107E+01  0.488E+02  0.105E+01
  1.085  0.414E+02  0.154E+01  0.525E+02  0.341E-04  0.315E+01  0.116E+01  0.488E+02  0.113E+01
  1.086  0.415E+02  0.165E+01  0.526E+02  0.481E-04  0.312E+01  0.124E+01  0.489E+02  0.120E+01
  1.087  0.415E+02  0.175E+01  0.527E+02  0.653E-04  0.309E+01  0.131E+01  0.489E+02  0.127E+01
  1.088  0.416E+02  0.185E+01  0.529E+02  0.859E-04  0.306E+01  0.138E+01  0.489E+02  0.134E+01
  1.089  0.416E+02  0.194E+01  0.530E+02  0.110E-03  0.302E+01  0.145E+01  0.489E+02  0.140E+01
  1.090  0.417E+02  0.202E+01  0.532E+02  0.138E-03  0.299E+01  0.151E+01  0.490E+02  0.146E+01
  1.091  0.417E+02  0.211E+01  0.533E+02  0.171E-03  0.296E+01  0.157E+01  0.490E+02  0.152E+01
  1.092  0.418E+02  0.219E+01  0.535E+02  0.208E-03  0.293E+01  0.163E+01  0.490E+02  0.157E+01
  1.093  0.419E+02  0.227E+01  0.536E+02  0.250E-03  0.290E+01  0.168E+01  0.491E+02  0.163E+01
  1.094  0.419E+02  0.234E+01  0.538E+02  0.297E-03  0.286E+01  0.173E+01  0.491E+02  0.168E+01
  1.095  0.420E+02  0.241E+01  0.539E+02  0.349E-03  0.283E+01  0.179E+01  0.491E+02  0.173E+01
  1.096  0.420E+02  0.249E+01  0.541E+02  0.407E-03  0.280E+01  0.184E+01  0.492E+02  0.177E+01
  1.097  0.421E+02  0.255E+01  0.542E+02  0.471E-03  0.277E+01  0.188E+01  0.492E+02  0.182E+01
  1.098  0.421E+02  0.262E+01  0.544E+02  0.542E-03  0.273E+01  0.193E+01  0.492E+02  0.186E+01
  1.099  0.422E+02  0.269E+01  0.545E+02  0.618E-03  0.270E+01  0.198E+01  0.492E+02  0.190E+01
  1.100  0.422E+02  0.275E+01  0.547E+02  0.702E-03  0.267E+01  0.202E+01  0.493E+02  0.194E+01
  1.101  0.423E+02  0.282E+01  0.548E+02  0.793E-03  0.264E+01  0.206E+01  0.493E+02  0.198E+01
  1.102  0.423E+02  0.288E+01  0.550E+02  0.892E-03  0.261E+01  0.210E+01  0.493E+02  0.202E+01
  1.103  0.424E+02  0.294E+01  0.551E+02  0.998E-03  0.258E+01  0.215E+01  0.494E+02  0.206E+01
  1.104  0.425E+02  0.300E+01  0.553E+02  0.111E-02  0.254E+01  0.219E+01  0.494E+02  0.210E+01
  1.105  0.425E+02  0.305E+01  0.554E+02  0.124E-02  0.251E+01  0.222E+01  0.494E+02  0.213E+01
  1.106  0.426E+02  0.311E+01  0.556E+02  0.137E-02  0.248E+01  0.226E+01  0.495E+02  0.217E+01
  1.107  0.426E+02  0.317E+01  0.558E+02  0.151E-02  0.245E+01  0.230E+01  0.495E+02  0.220E+01
  1.108  0.427E+02  0.322E+01  0.559E+02  0.166E-02  0.242E+01  0.234E+01  0.495E+02  0.223E+01
  1.109  0.427E+02  0.328E+01  0.561E+02  0.182E-02  0.238E+01  0.237E+01  0.496E+02  0.226E+01
  1.110  0.428E+02  0.333E+01  0.562E+02  0.199E-02  0.235E+01  0.241E+01  0.496E+02  0.230E+01
  1.111  0.429E+02  0.338E+01  0.564E+02  0.218E-02  0.232E+01  0.244E+01  0.496E+02  0.233E+01
  1.112  0.429E+02  0.343E+01  0.565E+02  0.237E-02  0.229E+01  0.247E+01  0.496E+02  0.236E+01
  1.113  0.430E+02  0.349E+01  0.567E+02  0.258E-02  0.226E+01  0.251E+01  0.497E+02  0.239E+01
  1.114  0.430E+02  0.354E+01  0.569E+02  0.279E-02  0.223E+01  0.254E+01  0.497E+02  0.241E+01
  1.115  0.431E+02  0.359E+01  0.570E+02  0.302E-02  0.220E+01  0.257E+01  0.497E+02  0.244E+01
  1.116  0.431E+02  0.363E+01  0.572E+02  0.326E-02  0.216E+01  0.260E+01  0.498E+02  0.247E+01
  1.117  0.432E+02  0.368E+01  0.574E+02  0.352E-02  0.213E+01  0.263E+01  0.498E+02  0.250E+01
  1.118  0.433E+02  0.373E+01  0.575E+02  0.379E-02  0.210E+01  0.266E+01  0.498E+02  0.252E+01
  1.119  0.433E+02  0.378E+01  0.577E+02  0.407E-02  0.207E+01  0.269E+01  0.499E+02  0.255E+01
  1.120  0.434E+02  0.382E+01  0.579E+02  0.437E-02  0.204E+01  0.272E+01  0.499E+02  0.257E+01
  1.121  0.434E+02  0.387E+01  0.580E+02  0.469E-02  0.201E+01  0.275E+01  0.499E+02  0.260E+01
  1.122  0.435E+02  0.392E+01  0.582E+02  0.502E-02  0.198E+01  0.278E+01  0.500E+02  0.262E+01
  1.123  0.435E+02  0.396E+01  0.584E+02  0.536E-02  0.195E+01  0.280E+01  0.500E+02  0.264E+01
  1.124  0.436E+02  0.401E+01  0.585E+02  0.572E-02  0.192E+01  0.283E+01  0.500E+02  0.267E+01
  1.125  0.437E+02  0.405E+01  0.587E+02  0.610E-02  0.189E+01  0.286E+01  0.501E+02  0.269E+01
